CodigoDeposito;CodigoArticulo;VencimientoLote;CantidadDecimal;FechaStock
10;1495;2022-05-31;0.00;2022-05-31
10;1496;2022-05-31;0.00;2022-05-31
10;1497;2022-05-31;28411.00;2022-05-31
10;1498;2022-05-31;2000.00;2022-05-31
10;1500;2022-05-31;23787.00;2022-05-31
10;1666;2022-05-31;0.00;2022-05-31
10;1804;2022-05-31;0.00;2022-05-31
10;1805;2022-05-31;10.00;2022-05-31
10;1806;2022-05-31;0.00;2022-05-31
10;1807;2022-05-31;0.00;2022-05-31
10;2043;2022-05-31;0.00;2022-05-31
10;2451;2022-05-31;5.00;2022-05-31
10;2819;2022-05-31;0.00;2022-05-31
10;2826;2022-05-31;0.00;2022-05-31
10;2833;2022-05-31;0.00;2022-05-31
10;2840;2022-05-31;0.00;2022-05-31
10;2864;2022-05-31;0.00;2022-05-31
10;2871;2022-05-31;0.00;2022-05-31
10;2910;2022-05-31;0.00;2022-05-31
10;2911;2022-05-31;0.00;2022-05-31
10;2920;2022-05-31;0.00;2022-05-31
10;2922;2022-05-31;0.00;2022-05-31
10;2923;2022-05-31;0.00;2022-05-31
10;2930;2022-05-31;0.00;2022-05-31
10;2931;2022-05-31;0.00;2022-05-31
10;2932;2022-05-31;0.00;2022-05-31
10;2942;2022-05-31;0.00;2022-05-31
10;2943;2022-05-31;0.00;2022-05-31
10;2950;2022-05-31;30.00;2022-05-31
10;2952;2022-05-31;6.00;2022-05-31
10;2960;2022-05-31;0.00;2022-05-31
10;2962;2022-05-31;0.00;2022-05-31
10;2970;2022-05-31;90.00;2022-05-31
10;2971;2022-05-31;0.00;2022-05-31
10;2972;2022-05-31;5.00;2022-05-31
10;3407;2022-05-31;0.00;2022-05-31
10;3410;2022-05-31;0.00;2022-05-31
10;3465;2022-05-31;0.00;2022-05-31
10;3504;2022-05-31;0.00;2022-05-31
10;3634;2022-05-31;0.00;2022-05-31
10;3641;2022-05-31;0.00;2022-05-31
10;3923;2022-05-31;5.00;2022-05-31
10;5040;2022-05-31;0.00;2022-05-31
10;5041;2022-05-31;0.00;2022-05-31
10;5042;2022-05-31;0.00;2022-05-31
10;5043;2022-05-31;0.00;2022-05-31
10;5044;2022-05-31;0.00;2022-05-31
10;5045;2022-05-31;0.00;2022-05-31
10;5046;2022-05-31;0.00;2022-05-31
10;5047;2022-05-31;0.00;2022-05-31
10;5048;2022-05-31;0.00;2022-05-31
10;5049;2022-05-31;0.00;2022-05-31
10;5315;2022-05-31;1.00;2022-05-31
10;5316;2022-05-31;0.00;2022-05-31
10;5317;2022-05-31;0.00;2022-05-31
10;5318;2022-05-31;0.00;2022-05-31
10;5333;2022-05-31;0.00;2022-05-31
10;5335;2022-05-31;0.00;2022-05-31
10;5336;2022-05-31;48835.00;2022-05-31
10;5525;2022-05-31;0.00;2022-05-31
10;5562;2022-05-31;0.00;2022-05-31
10;5572;2022-05-31;0.00;2022-05-31
10;5575;2022-05-31;0.00;2022-05-31
10;5656;2022-05-31;0.00;2022-05-31
10;5754;2022-05-31;6.00;2022-05-31
10;5756;2022-05-31;0.00;2022-05-31
10;5758;2022-05-31;10.00;2022-05-31
10;5766;2022-05-31;0.00;2022-05-31
10;5778;2022-05-31;0.00;2022-05-31
10;5779;2022-05-31;0.00;2022-05-31
10;5780;2022-05-31;0.00;2022-05-31
10;5789;2022-05-31;0.00;2022-05-31
10;6002;2022-05-31;0.00;2022-05-31
10;6003;2022-05-31;0.00;2022-05-31
10;6004;2022-05-31;0.00;2022-05-31
10;6005;2022-05-31;0.00;2022-05-31
10;6007;2022-05-31;0.00;2022-05-31
10;6009;2022-05-31;0.00;2022-05-31
10;6010;2022-05-31;0.00;2022-05-31
10;6011;2022-05-31;0.00;2022-05-31
10;6012;2022-05-31;520.00;2022-05-31
10;6013;2022-05-31;0.00;2022-05-31
10;6014;2022-05-31;8.00;2022-05-31
10;6015;2022-05-31;0.00;2022-05-31
10;6019;2022-05-31;0.00;2022-05-31
10;6020;2022-05-31;0.00;2022-05-31
10;6021;2022-05-31;0.00;2022-05-31
10;6022;2022-05-31;0.00;2022-05-31
10;6023;2022-05-31;0.00;2022-05-31
10;6024;2022-05-31;0.00;2022-05-31
10;6025;2022-05-31;0.00;2022-05-31
10;6026;2022-05-31;30222.60;2022-05-31
10;6028;2022-05-31;22188.00;2022-05-31
10;6029;2022-05-31;0.00;2022-05-31
10;6030;2022-05-31;0.00;2022-05-31
10;6031;2022-05-31;55444.00;2022-05-31
10;6032;2022-05-31;45837.00;2022-05-31
10;6033;2022-05-31;25821.00;2022-05-31
10;6034;2022-05-31;0.00;2022-05-31
10;6035;2022-05-31;29744.00;2022-05-31
10;6036;2022-05-31;21418.00;2022-05-31
10;6037;2022-05-31;0.00;2022-05-31
10;6038;2022-05-31;25427.00;2022-05-31
10;6039;2022-05-31;61916.00;2022-05-31
10;6040;2022-05-31;0.00;2022-05-31
10;6044;2022-05-31;43729.00;2022-05-31
10;6045;2022-05-31;0.00;2022-05-31
10;6046;2022-05-31;80.00;2022-05-31
10;6047;2022-05-31;15223.00;2022-05-31
10;6049;2022-05-31;16699.00;2022-05-31
10;6051;2022-05-31;0.00;2022-05-31
10;6052;2022-05-31;232.00;2022-05-31
10;6053;2022-05-31;716.00;2022-05-31
10;6054;2022-05-31;7723.00;2022-05-31
10;6055;2022-05-31;39615.00;2022-05-31
10;6056;2022-05-31;8646.00;2022-05-31
10;6059;2022-05-31;1556.00;2022-05-31
10;6060;2022-05-31;17344.00;2022-05-31
10;6061;2022-05-31;400.00;2022-05-31
10;6064;2022-05-31;5912.00;2022-05-31
10;6065;2022-05-31;17053.00;2022-05-31
10;6066;2022-05-31;20504.00;2022-05-31
10;6067;2022-05-31;21616.00;2022-05-31
10;6070;2022-05-31;10593.00;2022-05-31
10;6071;2022-05-31;10452.00;2022-05-31
10;6080;2022-05-31;29602.00;2022-05-31
10;6110;2022-05-31;0.00;2022-05-31
10;6120;2022-05-31;0.00;2022-05-31
10;6122;2022-05-31;0.00;2022-05-31
10;6123;2022-05-31;24096.00;2022-05-31
10;6124;2022-05-31;15678.00;2022-05-31
10;6129;2022-05-31;0.00;2022-05-31
10;6130;2022-05-31;0.00;2022-05-31
10;6131;2022-05-31;0.00;2022-05-31
10;6133;2022-05-31;0.00;2022-05-31
10;6231;2022-05-31;0.00;2022-05-31
10;6232;2022-05-31;0.00;2022-05-31
10;6233;2022-05-31;0.00;2022-05-31
10;6234;2022-05-31;0.00;2022-05-31
10;6403;2022-05-31;0.00;2022-05-31
10;6423;2022-05-31;0.00;2022-05-31
10;6430;2022-05-31;0.00;2022-05-31
10;6432;2022-05-31;0.00;2022-05-31
10;6433;2022-05-31;12.00;2022-05-31
10;6508;2022-05-31;0.00;2022-05-31
10;6509;2022-05-31;0.00;2022-05-31
10;6510;2022-05-31;0.00;2022-05-31
10;6514;2022-05-31;0.00;2022-05-31
10;6515;2022-05-31;0.00;2022-05-31
10;6518;2022-05-31;38404.00;2022-05-31
10;6520;2022-05-31;38432.00;2022-05-31
10;6521;2022-05-31;2033.00;2022-05-31
10;6580;2022-05-31;0.00;2022-05-31
10;6581;2022-05-31;0.00;2022-05-31
10;6908;2022-05-31;0.00;2022-05-31
10;6910;2022-05-31;0.00;2022-05-31
10;6911;2022-05-31;552.00;2022-05-31
10;6953;2022-05-31;0.00;2022-05-31
10;6954;2022-05-31;0.00;2022-05-31
10;6957;2022-05-31;0.00;2022-05-31
10;6958;2022-05-31;420.00;2022-05-31
10;9008;2022-05-31;0.00;2022-05-31
10;9009;2022-05-31;0.00;2022-05-31
10;9011;2022-05-31;0.00;2022-05-31
10;9013;2022-05-31;0.00;2022-05-31
10;9014;2022-05-31;0.00;2022-05-31
10;9016;2022-05-31;0.00;2022-05-31
10;9017;2022-05-31;0.00;2022-05-31
10;9018;2022-05-31;0.00;2022-05-31
10;9104;2022-05-31;0.00;2022-05-31
10;9105;2022-05-31;0.00;2022-05-31
10;9108;2022-05-31;0.00;2022-05-31
10;9109;2022-05-31;0.00;2022-05-31
10;9156;2022-05-31;9352.00;2022-05-31
10;9157;2022-05-31;0.00;2022-05-31
10;9158;2022-05-31;0.00;2022-05-31
10;9159;2022-05-31;0.00;2022-05-31
10;9160;2022-05-31;0.00;2022-05-31
10;9161;2022-05-31;12.00;2022-05-31
10;9162;2022-05-31;10281.00;2022-05-31
10;9163;2022-05-31;30747.00;2022-05-31
10;9164;2022-05-31;10325.00;2022-05-31
10;9165;2022-05-31;15435.00;2022-05-31
10;9166;2022-05-31;18968.00;2022-05-31
10;9167;2022-05-31;9823.00;2022-05-31
10;9168;2022-05-31;31118.00;2022-05-31
10;9172;2022-05-31;19295.00;2022-05-31
10;9173;2022-05-31;28803.00;2022-05-31
10;9174;2022-05-31;8997.00;2022-05-31
10;9179;2022-05-31;160.00;2022-05-31
10;9197;2022-05-31;291.00;2022-05-31
10;9198;2022-05-31;0.00;2022-05-31
10;9221;2022-05-31;2752.00;2022-05-31
10;9222;2022-05-31;0.00;2022-05-31
10;9223;2022-05-31;0.00;2022-05-31
10;9224;2022-05-31;0.00;2022-05-31
10;9226;2022-05-31;0.00;2022-05-31
10;9227;2022-05-31;0.00;2022-05-31
10;9228;2022-05-31;197.00;2022-05-31
10;9231;2022-05-31;0.00;2022-05-31
10;9253;2022-05-31;0.00;2022-05-31
10;9331;2022-05-31;0.00;2022-05-31
10;9332;2022-05-31;0.00;2022-05-31
10;9335;2022-05-31;23970.00;2022-05-31
10;9337;2022-05-31;0.00;2022-05-31
10;9338;2022-05-31;0.00;2022-05-31
10;9339;2022-05-31;29469.00;2022-05-31
10;9340;2022-05-31;0.00;2022-05-31
10;9341;2022-05-31;26750.00;2022-05-31
10;9342;2022-05-31;22449.00;2022-05-31
10;9343;2022-05-31;0.00;2022-05-31
10;9344;2022-05-31;13782.00;2022-05-31
10;9345;2022-05-31;19512.00;2022-05-31
10;9346;2022-05-31;0.00;2022-05-31
10;9347;2022-05-31;25698.00;2022-05-31
10;9348;2022-05-31;0.00;2022-05-31
10;9350;2022-05-31;30747.00;2022-05-31
10;9351;2022-05-31;19922.00;2022-05-31
10;9355;2022-05-31;240.00;2022-05-31
10;9356;2022-05-31;177.00;2022-05-31
10;9357;2022-05-31;811.00;2022-05-31
10;9358;2022-05-31;3529.00;2022-05-31
10;9359;2022-05-31;9829.00;2022-05-31
10;9360;2022-05-31;0.00;2022-05-31
10;9361;2022-05-31;68.00;2022-05-31
10;9362;2022-05-31;70.00;2022-05-31
10;9364;2022-05-31;645.00;2022-05-31
10;9365;2022-05-31;52.00;2022-05-31
10;9368;2022-05-31;219.00;2022-05-31
10;9402;2022-05-31;4.00;2022-05-31
10;9403;2022-05-31;0.00;2022-05-31
10;9425;2022-05-31;2.00;2022-05-31
10;9532;2022-05-31;0.00;2022-05-31
10;9533;2022-05-31;0.00;2022-05-31
10;9534;2022-05-31;33726.00;2022-05-31
10;9535;2022-05-31;22479.00;2022-05-31
10;9538;2022-05-31;0.00;2022-05-31
10;9566;2022-05-31;13450.00;2022-05-31
10;9571;2022-05-31;0.00;2022-05-31
10;9574;2022-05-31;41247.00;2022-05-31
10;9575;2022-05-31;5218.00;2022-05-31
10;9576;2022-05-31;3350.00;2022-05-31
10;9580;2022-05-31;0.00;2022-05-31
10;9608;2022-05-31;0.00;2022-05-31
10;9609;2022-05-31;0.00;2022-05-31
10;9610;2022-05-31;0.00;2022-05-31
10;9612;2022-05-31;0.00;2022-05-31
10;9642;2022-05-31;0.00;2022-05-31
10;9643;2022-05-31;28.00;2022-05-31
10;9644;2022-05-31;8.00;2022-05-31
10;9645;2022-05-31;203.00;2022-05-31
10;9646;2022-05-31;0.00;2022-05-31
10;9647;2022-05-31;0.00;2022-05-31
10;9650;2022-05-31;0.00;2022-05-31
10;9652;2022-05-31;1513.00;2022-05-31
10;9653;2022-05-31;0.00;2022-05-31
10;9654;2022-05-31;0.00;2022-05-31
10;9655;2022-05-31;0.00;2022-05-31
10;9656;2022-05-31;0.00;2022-05-31
10;9657;2022-05-31;0.00;2022-05-31
10;9659;2022-05-31;24.00;2022-05-31
10;9660;2022-05-31;0.00;2022-05-31
10;9663;2022-05-31;18.00;2022-05-31
10;9664;2022-05-31;332.00;2022-05-31
10;9666;2022-05-31;0.00;2022-05-31
10;9667;2022-05-31;0.00;2022-05-31
10;9686;2022-05-31;144.00;2022-05-31
10;9700;2022-05-31;0.00;2022-05-31
10;9701;2022-05-31;0.00;2022-05-31
10;9825;2022-05-31;0.00;2022-05-31
10;9826;2022-05-31;0.00;2022-05-31
10;9901;2022-05-31;0.00;2022-05-31
10;9902;2022-05-31;0.00;2022-05-31
10;9908;2022-05-31;0.00;2022-05-31
10;9925;2022-05-31;0.00;2022-05-31
10;9926;2022-05-31;0.00;2022-05-31
10;9927;2022-05-31;0.00;2022-05-31
10;9944;2022-05-31;0.00;2022-05-31
10;9945;2022-05-31;0.00;2022-05-31
10;9955;2022-05-31;0.00;2022-05-31
10;9956;2022-05-31;0.00;2022-05-31
10;9966;2022-05-31;0.00;2022-05-31
10;9991;2022-05-31;0.00;2022-05-31
10;9992;2022-05-31;643.00;2022-05-31
10;9993;2022-05-31;0.00;2022-05-31
10;9994;2022-05-31;0.00;2022-05-31
10;9996;2022-05-31;0.00;2022-05-31
