Id,r00,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26
30,1,7,"2014-06-02 00:00:00","2014-06-24 09:26:23","2014-06-24 00:00:00",9,9329,2320.00000,2,A,1,0,"2014-07-07 00:00:00","MONLEON E HIJO",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000007 De  MONLEON E HIJO"
31,1,8,"2014-05-23 00:00:00","2014-06-24 09:28:05","2014-06-02 00:00:00",10,9331,10012.20000,2,A,1,0,"2014-06-27 00:00:00","MULLER MARIA",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000008 De  MULLER MARIA"
32,1,9,"2014-05-29 00:00:00","2014-06-24 09:33:40","2014-06-24 00:00:00",12,9334,13783.00000,2,A,1,0,"2014-07-03 00:00:00","SENSINI PEDRO",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000009 De  SENSINI PEDRO"
33,1,10,"2014-05-28 00:00:00","2014-06-24 09:44:01","2014-05-29 00:00:00",13,9335,27642.00000,2,A,1,0,"2014-06-27 00:00:00","AGROMERCO SA",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000010 De  AGROMERCO SA"
35,1,12,"2014-06-18 00:00:00","2014-06-24 09:53:22","2014-06-24 00:00:00",15,9340,25262.37000,2,A,1,0,"2014-07-18 00:00:00","PADIN MARTIN",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000012 De  PADIN MARTIN"
36,1,13,"2014-06-02 00:00:00","2014-06-24 09:54:23","2014-06-18 00:00:00",16,9341,23280.00000,2,A,1,0,"2014-07-02 00:00:00","REGALADO JUAN CARLOS",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000013 De  REGALADO JUAN CARLOS"
37,1,10041,"2014-06-24 00:00:00","2014-06-25 16:08:46","2014-06-24 00:00:00",3,9769,2168.35000,2,B,1,0,"2014-06-24 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010041 De  KLEJA REPRESENTACIONES"
38,1,14,"2014-06-18 00:00:00","2014-07-01 10:20:09","2014-06-18 00:00:00",18,9926,19827.50000,2,A,1,,"2014-07-23 00:00:00","LASSALLETTE SANDRA",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000014 De  LASSALLETTE SANDRA"
39,1,5,"2014-06-19 00:00:00","2014-06-26 10:21:51","2014-06-19 00:00:00",17,9927,10560.00000,2,A,1,,"2014-07-19 00:00:00","BUFFONE DANIEL",1,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000005 De  BUFFONE DANIEL"
40,1,15,"2014-06-16 00:00:00","2014-06-26 10:29:13","2014-06-16 00:00:00",19,9928,3542.00000,2,A,1,,"2014-07-21 00:00:00",CANO,1,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000015 De  CANO"
41,1,16,"2014-06-16 00:00:00","2014-06-26 10:30:56","2014-06-16 00:00:00",20,9929,3759.00000,2,A,1,0,"2014-07-21 00:00:00",PELAYO,1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000016 De  PELAYO"
42,1,17,"2014-06-16 00:00:00","2014-06-26 10:31:58","2014-06-16 00:00:00",21,9930,15946.00000,2,A,1,0,"2014-07-21 00:00:00",PAGRUN,1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000017 De  PAGRUN"
43,1,18,"2014-06-09 00:00:00","2014-06-26 10:33:02","2014-06-16 00:00:00",22,9931,55544.50000,2,A,1,0,"2014-07-09 00:00:00","LEON JUAN CARLOS",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000018 De  LEON JUAN CARLOS"
44,1,19,"2014-06-10 00:00:00","2014-06-26 13:32:45","2014-06-26 00:00:00",23,9952,12418.00000,2,A,1,0,"2014-07-10 00:00:00",genovesi,1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000019 De  genovesi"
45,1,20,"2014-06-11 00:00:00","2014-06-26 14:18:05","2014-06-11 00:00:00",24,9957,20072.50000,2,A,1,0,"2014-07-11 00:00:00",HASPERT,1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000020 De  HASPERT"
46,1,21,"2014-05-30 00:00:00","2014-06-26 14:21:44","2014-06-30 00:00:00",11,9958,9090.50000,2,A,1,0,"2014-07-04 00:00:00",RUPPEL,1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000021 De  RUPPEL"
47,1,22,"2014-06-03 00:00:00","2014-06-26 14:22:38","2014-06-26 00:00:00",25,9959,14987.00000,2,A,1,0,"2014-07-08 00:00:00","SANCHEZ OSVALDO",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000022 De  SANCHEZ OSVALDO"
48,1,23,"2014-06-02 00:00:00","2014-06-26 14:23:44","2014-06-03 00:00:00",26,9960,86160.00000,2,A,1,0,"2014-07-02 00:00:00","MASSON RUBEN",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000023 De  MASSON RUBEN"
50,6,1,"2014-06-27 00:00:00","2014-06-27 16:51:33","2014-06-27 00:00:00",10,10327,10012.20000,1,X,1," ","2014-06-27 00:00:00","MULLER MARIA",1,26,0,0,1,10012.20000,NULL,7048,1,NULL,NULL,NULL,"RECIBO  00000001  MULLER MARIA"
51,1,25,"2014-06-26 00:00:00","2014-06-28 09:25:10","2014-06-26 00:00:00",27,10411,6000.00000,2,B,1,0,"2014-07-17 00:00:00","LA PLANICIE SH",1,26,33714287279,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00000025 De  LA PLANICIE SH"
52,1,7327127,"2014-06-25 00:00:00","2014-06-28 12:26:22","2014-06-25 00:00:00",1,10502,611.80000,2,B,1,0,"2014-06-25 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07327127 De  DISTRIBUIDORA EFG"
53,1,10039,"2014-06-24 00:00:00","2014-06-28 12:26:42","2014-06-24 00:00:00",3,10503,6124.28000,2,B,1,0,"2014-06-24 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010039 De  KLEJA REPRESENTACIONES"
54,1,10037,"2014-06-24 00:00:00","2014-06-28 12:27:02","2014-06-24 00:00:00",3,10504,2587.93000,2,B,1,0,"2014-06-24 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010037 De  KLEJA REPRESENTACIONES"
55,1,10019,"2014-06-17 00:00:00","2014-06-28 12:27:26","2014-06-17 00:00:00",3,10505,1160.75000,2,B,1,0,"2014-06-17 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010019 De  KLEJA REPRESENTACIONES"
56,1,10036,"2014-06-24 00:00:00","2014-06-28 12:29:14","2014-06-24 00:00:00",3,10507,5331.25000,2,B,1,0,"2014-06-24 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010036 De  KLEJA REPRESENTACIONES"
57,1,7488015,"2014-06-23 00:00:00","2014-06-28 12:29:39","2014-06-23 00:00:00",1,10508,634.34000,2,B,1,0,"2014-06-23 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07488015 De  DISTRIBUIDORA EFG"
58,1,26,"2014-06-18 00:00:00","2014-06-30 09:02:24","2014-06-18 00:00:00",28,10614,40199.50000,2,A,1,,"2014-07-18 00:00:00","LA FLORIDA",1,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000026 De  LA FLORIDA"
59,1,27,"2014-06-24 00:00:00","2014-06-30 09:03:46","2014-06-30 00:00:00",29,10615,66537.00000,2,A,1,0,"2014-07-24 00:00:00","SENSINI FABIAN",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000027 De  SENSINI FABIAN"
60,1,28,"2014-06-24 00:00:00","2014-06-30 09:05:39","2014-06-24 00:00:00",30,10616,36382.50000,2,A,1,0,"2014-07-29 00:00:00",KRAMER,1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000028 De  KRAMER"
61,1,29,"2014-06-23 00:00:00","2014-06-30 09:06:30","2014-06-24 00:00:00",31,10617,39420.00000,2,A,1,0,"2014-07-23 00:00:00",MUNZ,1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000029 De  MUNZ"
62,1,30,"2014-06-26 00:00:00","2014-07-01 10:27:51","2014-06-30 00:00:00",32,10618,8078.00000,2,A,1,,"2014-07-31 00:00:00","PEREZ GERMAN",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000030 De  PEREZ GERMAN"
63,1,31,"2014-06-21 00:00:00","2014-06-30 09:08:27","2014-06-26 00:00:00",33,10619,9870.00000,2,A,1,0,"2014-07-26 00:00:00",ARDURA,1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000031 De  ARDURA"
64,1,32,"2014-06-23 00:00:00","2014-06-30 09:09:48","2014-06-30 00:00:00",34,10620,28119.00000,2,A,1,0,"2014-07-23 00:00:00","DE LASSA",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000032 De  DE LASSA"
67,6,2,"2014-06-30 00:00:00","2014-06-30 13:29:41","2014-06-30 00:00:00",6,10639,35436.74000,1,X,1," ","2014-06-30 00:00:00","ETCHELECU GRACIELA",1,26,0,0,1,35436.74000,NULL,7246,2,NULL,NULL,NULL,"RECIBO  00000002  ETCHELECU GRACIELA"
68,1,7327124,"2014-06-01 00:00:00","2014-06-30 14:39:35","2014-06-01 00:00:00",1,10646,1326.65000,2,B,1,0,"2014-06-01 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07327124 De  DISTRIBUIDORA EFG"
69,1,7327123,"2014-05-26 00:00:00","2014-06-30 15:16:22","2014-05-26 00:00:00",1,10660,3443.79000,2,B,1,0,"2014-05-26 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07327123 De  DISTRIBUIDORA EFG"
71,1,1,"2014-06-30 00:00:00","2014-06-30 15:57:11","2014-06-30 00:00:00",37,10705,400.00000,1,B,1,0,"2014-06-30 00:00:00",REP.DUR.563,6,26,,0,1,0.00000,0.00000,7308,0,NULL,NULL,NULL,"Factura  A B    0001-00000000 De  REP.DUR.563"
72,1,7327129,"2014-07-01 00:00:00","2014-07-01 09:11:48","2014-07-01 00:00:00",1,10824,3509.80000,2,B,1,0,"2014-07-01 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07327129 De  DISTRIBUIDORA EFG"
73,1,10073,"2014-07-01 00:00:00","2014-07-02 14:30:26","2014-07-01 00:00:00",3,11033,1450.18000,2,B,1,0,"2014-07-01 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010073 De  KLEJA REPRESENTACIONES"
74,6,3,"2014-07-02 00:00:00","2014-07-02 15:12:00","2014-07-02 00:00:00",12,11039,13783.00000,1,X,1," ","2014-07-02 00:00:00","SENSINI PEDRO",1,26,0,0,1,13783.00000,NULL,7442,4,NULL,NULL,NULL,"RECIBO  00000003  SENSINI PEDRO"
75,6,4,"2014-07-02 00:00:00","2014-07-02 15:12:51","2014-07-02 00:00:00",13,11040,27642.00000,1,X,1," ","2014-07-02 00:00:00","AGROMERCO SA",1,26,0,0,1,27642.00000,NULL,7443,5,NULL,NULL,NULL,"RECIBO  00000004  AGROMERCO SA"
76,1,39,"2014-07-01 00:00:00","2014-07-02 15:22:32","2014-07-01 00:00:00",39,11048,216.00000,1,A,1,0,"2014-07-01 00:00:00","RICA PRODUCTOS",1,26,,0,1,0.00000,0.00000,7451,0,NULL,NULL,NULL,"Factura  A A    0001-00000039 De  RICA PRODUCTOS"
77,3,3140,"2014-07-02 00:00:00","2014-07-02 15:37:26","2014-07-02 00:00:00",40,11057,20.00000,1,A,1,,"2014-07-02 00:00:00","FERRETERIA MENENDEZ",5,26,,0,1,0.00000,0.00000,7460,0,NULL,NULL,NULL,"Factura B/C A    0001-00003140 De  FERRETERIA MENENDEZ"
78,3,74949,"2014-07-01 00:00:00","2014-07-02 15:52:29","2014-07-01 00:00:00",41,11072,85.00000,1,B,1,0,"2014-07-01 00:00:00","PAN PROMO",6,33,,0,1,0.00000,0.00000,7475,0,NULL,NULL,NULL,"Factura B/C B    0001-00074949 De  PAN PROMO"
79,3,49690,"2014-07-01 00:00:00","2014-07-02 15:52:56","2014-07-01 00:00:00",42,11073,26.00000,1,B,1,0,"2014-07-01 00:00:00","PAN REFRIGERIO",6,33,,0,1,0.00000,0.00000,7476,0,NULL,NULL,NULL,"Factura B/C B    0001-00049690 De  PAN REFRIGERIO"
80,3,298409,"2014-06-30 00:00:00","2014-07-02 16:00:05","2014-06-30 00:00:00",44,11078,25.50000,1,B,1,0,"2014-06-30 00:00:00",ALMACEN,6,33,,0,1,0.00000,0.00000,7481,0,NULL,NULL,NULL,"Factura B/C B    0001-00298409 De  ALMACEN"
81,3,1043,"2014-06-30 00:00:00","2014-07-02 16:00:35","2014-06-30 00:00:00",43,11079,114.00000,1,B,1,0,"2014-06-30 00:00:00",POTENZA,6,33,,0,1,0.00000,0.00000,7482,0,NULL,NULL,NULL,"Factura B/C B    0001-00001043 De  POTENZA"
82,3,1047,"2014-06-30 00:00:00","2014-07-02 16:02:21","2014-06-30 00:00:00",45,11081,600.00000,1,B,1,0,"2014-06-30 00:00:00","PAN DE MIGA",6,33,,0,1,0.00000,0.00000,7484,0,NULL,NULL,NULL,"Factura B/C B    0001-00001047 De  PAN DE MIGA"
83,3,74948,"2014-07-01 00:00:00","2014-07-02 16:42:42","2014-07-01 00:00:00",41,11180,42.50000,1,B,1,0,"2014-07-01 00:00:00","PAN PROMO",6,33,,0,1,0.00000,0.00000,7583,0,NULL,NULL,NULL,"Factura B/C B    0001-00074948 De  PAN PROMO"
84,3,9361806,"2014-07-01 00:00:00","2014-07-02 16:43:34","2014-07-01 00:00:00",42,11181,56.00000,1,B,1,0,"2014-07-01 00:00:00","PAN REFRIGERIO",6,33,,0,1,0.00000,0.00000,7584,0,NULL,NULL,NULL,"Factura B/C B    0001-09361806 De  PAN REFRIGERIO"
85,3,2049,"2014-07-01 00:00:00","2014-07-02 16:43:57","2014-07-01 00:00:00",45,11182,120.00000,1,B,1,0,"2014-07-01 00:00:00","PAN DE MIGA",6,33,,0,1,0.00000,0.00000,7585,0,NULL,NULL,NULL,"Factura B/C B    0001-00002049 De  PAN DE MIGA"
86,3,23342,"2014-07-02 00:00:00","2014-07-02 16:45:32","2014-07-02 00:00:00",44,11183,148.00000,1,B,1,0,"2014-07-02 00:00:00",ALMACEN,6,33,,0,1,0.00000,0.00000,7586,0,NULL,NULL,NULL,"Factura B/C B    0001-00023342 De  ALMACEN"
87,3,10065,"2014-07-01 00:00:00","2014-07-03 12:12:50","2014-07-01 00:00:00",3,11270,4926.84000,2,B,1,0,"2014-07-01 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura B/C B    0001-00010065 De  KLEJA REPRESENTACIONES"
88,3,10064,"2014-07-01 00:00:00","2014-07-03 12:13:41","2014-07-01 00:00:00",3,11271,1861.21000,2,B,1,0,"2014-07-01 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura B/C B    0001-00010064 De  KLEJA REPRESENTACIONES"
89,3,10040,"2014-06-24 00:00:00","2014-07-04 09:12:56","2014-06-24 00:00:00",3,11422,1467.47000,2,B,1,0,"2014-06-24 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura B/C B    0001-00010040 De  KLEJA REPRESENTACIONES"
90,3,10066,"2014-07-01 00:00:00","2014-07-04 09:13:25","2014-07-01 00:00:00",3,11423,2120.70000,2,B,1,0,"2014-07-01 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura B/C B    0001-00010066 De  KLEJA REPRESENTACIONES"
91,3,10069,"2014-07-01 00:00:00","2014-07-04 09:13:44","2014-07-01 00:00:00",3,11424,2596.40000,2,B,1,0,"2014-07-01 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura B/C B    0001-00010069 De  KLEJA REPRESENTACIONES"
92,3,938,"2014-06-23 00:00:00","2014-07-04 10:37:22","2014-06-23 00:00:00",38,11454,800.00000,1,A,1,0,"2014-06-23 00:00:00","GOMERIA MEDANOS",1,26,,0,1,0.00000,0.00000,7667,0,NULL,NULL,NULL,"Factura B/C A    0001-00000938 De  GOMERIA MEDANOS"
93,3,38637,"2014-07-02 00:00:00","2014-07-04 10:41:08","2014-07-02 00:00:00",46,11457,25.00000,1,B,1,0,"2014-07-02 00:00:00","SUPERMERCADO IDEAL",6,33,,0,136,0.00000,0.00000,7669,0,NULL,NULL,NULL,"Factura B/C B    0001-00038637 De  SUPERMERCADO IDEAL"
94,3,1806,"2014-07-02 00:00:00","2014-07-04 12:27:26","2014-07-02 00:00:00",42,11494,56.00000,1,B,1,,"2014-07-02 00:00:00","PAN REFRIGERIO",6,33,,0,1,0.00000,0.00000,7701,0,NULL,NULL,NULL,"Factura B/C B    0001-00001806 De  PAN REFRIGERIO"
95,3,23327,"2014-07-02 00:00:00","2014-07-04 12:29:15","2014-07-02 00:00:00",44,11496,16.50000,1,B,1,0,"2014-07-02 00:00:00",ALMACEN,6,33,,0,1,0.00000,0.00000,7703,0,NULL,NULL,NULL,"Factura B/C B    0001-00023327 De  ALMACEN"
96,3,23350,"2014-07-02 00:00:00","2014-07-04 12:29:44","2014-07-02 00:00:00",44,11497,49.00000,1,B,1,0,"2014-07-02 00:00:00",ALMACEN,6,33,,0,1,0.00000,0.00000,7704,0,NULL,NULL,NULL,"Factura B/C B    0001-00023350 De  ALMACEN"
