





















0SD.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
13-06-2022 19:01:58 , Error: Error de sintaxis. Linea : REPORT FORM rindeflete_cr PREVIEW Error :         10 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(IDCTACTE_RTE)+STR(IDPASE,12) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000G8W902O9


























































































4AX005U.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
14-06-2022 12:45:57 , Error: No se encuentra el alias 'CSRCUERPO'. Linea : SELECT csrcuerpo Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\00005




































































































































































4AX007D.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
14-06-2022 12:48:52 , Error: No se encuentra el alias 'CSRCUERPO'. Linea : SELECT csrcuerpo Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\00005



































































































































































4AX008V.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
14-06-2022 12:49:22 , Error: No se encuentra la variable 'IDFLETERO'. Linea : IF CsrCuerpo.idfletero#0 Error :         12 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          3 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL


































































































































































\TEMP\000054AX00AD.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
14-06-2022 13:05:40 , Verificando OCX
14-06-2022 13:05:43 , Acceso al sistema, antes de autenticar
14-06-2022 13:05:43 , Obteniendo conexion a servidor
14-06-2022 13:05:46 , Conectado..181.224.113.20\sql2019,1170
14-06-2022 13:05:47 , Datos de la empresa
14-06-2022 18:51:18 , Verificando OCX
14-06-2022 18:51:23 , Acceso al sistema, antes de autenticar
14-06-2022 18:51:23 , Obteniendo conexion a servidor
14-06-2022 18:51:25 , Conectado..181.224.113.20\sql2019,1170
14-06-2022 18:51:26 , Datos de la empresa
14-06-2022 18:51:32 , Verificando Licencia
14-06-2022 18:51:32 , Acceso exitoso
14-06-2022 18:52:33 , Error: El archivo no está abierto. Linea : SCAN Error :       1113 Ultimo Alias Activo: _CSRZONA Ultimo registro:          1 CNUMERO DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000F4ZT008Z.TMP Ultimo Control activo:  MAIN
14-06-2022 18:54:01 , Verificando OCX
14-06-2022 18:54:04 , Acceso al sistema, antes de autenticar
14-06-2022 18:54:04 , Obteniendo conexion a servidor
14-06-2022 18:54:05 , Conectado..181.224.113.20\sql2019,1170
14-06-2022 18:54:05 , Datos de la empresa
14-06-2022 18:54:35 , Error: El archivo no está abierto. Linea : SCAN Error :       1113 Ultimo Alias Activo: _CSRZONA Ultimo registro:          1 CNUMERO DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000E5FT001D.TMP Ultimo Control activo:  SUBFACTURA.IMPRIMIR



























































































































































_VISTAPREVIA1.IMPRESORA.CLICK
14-06-2022 19:12:14 , Verificando OCX
14-06-2022 19:12:15 , Acceso al sistema, antes de autenticar
14-06-2022 19:12:15 , Obteniendo conexion a servidor
14-06-2022 19:12:18 , Conectado..181.224.113.20\sql2019,1170
14-06-2022 19:12:18 , Datos de la empresa
14-06-2022 19:12:38 , Error: El archivo no está abierto. Linea : SCAN Error :       1113 Ultimo Alias Activo: _CSRZONA Ultimo registro:          1 CNUMERO DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000M0P5001D.TMP Ultimo Control activo:  SUBFACTURA.IMPRIMIR
























































































































































_VISTAPREVIA1.IMPRESORA.CLICK
14-06-2022 19:13:10 , Verificando OCX
14-06-2022 19:13:11 , Acceso al sistema, antes de autenticar
14-06-2022 19:13:11 , Obteniendo conexion a servidor
14-06-2022 19:13:12 , Conectado..181.224.113.20\sql2019,1170
14-06-2022 19:13:13 , Datos de la empresa
15-06-2022 10:03:26 , Verificando OCX
15-06-2022 10:03:28 , Acceso al sistema, antes de autenticar
15-06-2022 10:03:28 , Obteniendo conexion a servidor
15-06-2022 10:03:31 , Conectado..181.224.113.20\sql2019,1170
15-06-2022 10:03:32 , Datos de la empresa
15-06-2022 10:03:53 , Error: No se encuentra la variable 'GRUPO'. Linea : IF grupo<>'A' Error :         12 Ultimo Alias Activo: CSRCUERPO Ultimo registro:          1  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000LGCP00KE.TMP Ultimo Control activo:  LISTADO




















































































































































TOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 10:04:29 , Error: No se encuentra la variable 'TOTALIG'. Linea : replace gravado WITH gravado+lntotalsiva,iva WITH iva + CsrCuerpo.totalig, interno WITH interno + CsrCuerpo.totalii ,percep WITH percep + CsrCuerpo.TotalOtros, total WITH total +



















































































































































 lntotalsiva + Csrcuerpo.totalig + CsrCuerpo.totalii + CsrCuerpo.totalotros IN csrimprimir Error :         12 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          2 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000LG



















































































































































CP00NJ.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 10:06:34 , Error: El campo IVA no acepta valores NULL. Linea : replace gravado WITH gravado+lnFlete, iva WITH iva+lnFleteIVA, interno WITH interno + 0 , percep WITH percep + 0, total WITH total + lnFlete + lnFleteIVA IN csrimprimir Error :    


















































































































































   1581 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          6 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000LGCP00P2.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 10:07:19 , Error: El campo IVA no acepta valores NULL. Linea : replace gravado WITH gravado+lnFlete, iva WITH iva+lnFleteIVA, interno WITH interno + 0 , percep WITH percep + 0, total WITH total + lnFlete + lnFleteIVA IN csrimprimir Error :    

















































































































































   1581 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          6 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000LGCP00QD.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 10:09:12 , Error: El campo IVA no acepta valores NULL. Linea : replace gravado WITH gravado+lnFlete, iva WITH iva+lnFleteIVA, interno WITH interno + 0 , percep WITH percep + 0, total WITH total + lnFlete + lnFleteIVA IN csrimprimir Error :    
















































































































































   1581 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          6 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000LGCP00U6.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 10:09:42 , Error: El campo GRAVADO no acepta valores NULL. Linea : replace gravado WITH gravado+lntotalsiva,iva WITH iva + CsrCuerpo.iva_fac, interno WITH interno + 0 ,percep WITH percep + 0, total WITH total + CsrCuerpo.total IN csrimprimir E















































































































































rror :       1581 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          2 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000LGCP00VW.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 10:10:54 , Error: El campo IVA no acepta valores NULL. Linea : replace gravado WITH gravado+lntotalsiva,iva WITH iva + CsrCuerpo.iva_fac, interno WITH interno + 0 ,percep WITH percep + 0, total WITH total + CsrCuerpo.total IN csrimprimir Error














































































































































 :       1581 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          2 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000LGCP00XF.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 10:13:35 , Error: No se encuentra la variable 'SUBTIPO'. Linea : SUM ALL totalOtros FOR subtipo='IBTO2' TO percepgral Error :         12 Ultimo Alias Activo: CSRCUERPO Ultimo registro:          1  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000LGC













































































































































P00Z2.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 10:36:50 , Verificando OCX
15-06-2022 10:36:53 , Acceso al sistema, antes de autenticar
15-06-2022 10:36:53 , Obteniendo conexion a servidor
15-06-2022 10:36:54 , Conectado..181.224.113.20\sql2019,1170
15-06-2022 10:36:55 , Datos de la empresa
15-06-2022 10:37:45 , Error: No se encuentra el alias 'CSRCUERPO'. Linea : SELECT csrcuerpo Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000E











































































































































PZD0035.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 10:38:11 , Error: No se encuentra el alias 'CSRCUERPO'. Linea : SELECT csrcuerpo Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000E










































































































































PZD005J.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 10:38:43 , Error: No se encuentra el alias 'CSRCUERPO'. Linea : SELECT csrcuerpo Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000E









































































































































PZD007X.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 10:39:09 , Error: El campo ID no acepta valores NULL. Linea : INSERT INTO CsrImprimir(grupo,tasa,gravado,iva,interno,total,detalle,percep,id) VALUES (2,0,0,0,0,0,'',0,CsrCuerpo.idprovincia) Error :       1581 Ultimo Alias Activo: CSRIMPRIMIR U








































































































































ltimo registro:          7 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000EPZD00A7.TMP Ultimo Control activo:  LISTADOTOTFAC.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
15-06-2022 19:09:42 , Verificando OCX
15-06-2022 19:09:44 , Acceso al sistema, antes de autenticar
15-06-2022 19:09:45 , Obteniendo conexion a servidor
15-06-2022 19:09:46 , Conectado..181.224.113.20\sql2019,1170
15-06-2022 19:09:48 , Datos de la empresa
15-06-2022 19:22:10 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : IF  ISDIGIT(chr(nKeycode)) Error :         11 Ultimo Alias Activo: CSRAUXCABEFAC Ultimo registro:          8 IDMAOPERA DBF: C:\USERS\MARCO\APPDATA\LO






































































































































CAL\TEMP\0000JITL0119.TMP Ultimo Control activo:  RINDEFLETE.KEYPRESS
15-06-2022 20:08:16 , Error: No se encuentra el alias 'CSRIMPCAB'. Linea : REPORT FORM rindeflete_cr_2 PREVIEW Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(IDCTACTE_RTE)+STR(IDPASE,12) DBF: C:\USERS\MARCO\APPDATA\LO





































































































































CAL\TEMP\0000JITL029K.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
15-06-2022 20:10:02 , Error: No se encuentra el alias 'CSRIMPCAB'. Linea : REPORT FORM rindeflete_cr_2 PREVIEW Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(IDCTACTE_RTE)+STR(IDPASE,12) DBF: C:\USERS\MARCO\APPDATA\LO




































































































































CAL\TEMP\0000JITL02J1.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
15-06-2022 20:11:30 , Error: No se encuentra la variable 'GRUPO'. Linea : REPORT FORM rindeflete_cr_2 PREVIEW Error :         12 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(IDCTACTE_RTE)+STR(IDPASE,12) DBF: C:\USERS\MARCO\APPDATA\LOC



































































































































AL\TEMP\0000JITL02SW.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
15-06-2022 20:13:33 , Error: No se encuentra el alias 'CSRIMPCAB'. Linea : REPORT FORM rindeflete_cr_2 PREVIEW Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(IDCTACTE_RTE)+STR(IDPASE,12) DBF: C:\USERS\MARCO\APPDATA\LO


































































































































CAL\TEMP\0000JITL033R.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
15-06-2022 20:16:03 , Error: No se encuentra la variable 'FECCOMPROBA'. Linea : REPORT FORM rindeflete_cr_2 PREVIEW Error :         12 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(IDCTACTE_RTE)+STR(IDPASE,12) DBF: C:\USERS\MARCO\APPDA

































































































































TA\LOCAL\TEMP\0000JITL03BR.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
16-06-2022 09:40:20 , Error: No se encuentra la variable 'FECCOMPROBA'. Linea : REPORT FORM rindeflete_cr_2 PREVIEW Error :         12 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(IDCTACTE_RTE)+STR(IDPASE,12) DBF: C:\USERS\MARCO\APPDA
































































































































TA\LOCAL\TEMP\0000JITL03G9.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
16-06-2022 09:45:09 , Error: No se encuentra la variable 'NOMBRE_DEST'. Linea : REPORT FORM rindeflete_cr_2 PREVIEW Error :         12 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(IDCTACTE_RTE)+STR(IDPASE,12) DBF: C:\USERS\MARCO\APPDA































































































































TA\LOCAL\TEMP\0000JITL03UR.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
16-06-2022 11:54:43 , Error: El archivo 'csrmaopera.dbf' no existe. Linea : SELECT Csrmaopera.*,CAST(0 as int) as iddeposito,00000000 AS nrocaja,SPACE(6) as pefiscal,CAST(0 as int) as idfleteren FROM Csrmaopera WHERE RECNO()=1 AND id=0 INTO CURSOR CsrAux






























































































































Maopera READWRITE Error :          1 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  RINDEFLETE.LOAD
16-06-2022 11:54:49 , Verificando OCX
16-06-2022 11:54:52 , Acceso al sistema, antes de autenticar
16-06-2022 11:54:52 , Obteniendo conexion a servidor
16-06-2022 11:54:54 , Conectado..181.224.113.20\sql2019,1170
16-06-2022 11:54:54 , Datos de la empresa
16-06-2022 15:56:36 , Verificando OCX
16-06-2022 15:56:39 , Acceso al sistema, antes de autenticar
16-06-2022 15:56:40 , Obteniendo conexion a servidor
16-06-2022 15:56:41 , Conectado..181.224.113.20\sql2019,1170
16-06-2022 15:56:43 , Datos de la empresa
16-06-2022 15:57:18 , Error: No se encuentra la variable 'NOMBRE_DEST'. Linea : REPORT FORM rindeflete_cr_2 PREVIEW Error :         12 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(IDCTACTE_RTE)+STR(IDPASE,12) DBF: C:\USERS\MARCO\APPDA

























































































































TA\LOCAL\TEMP\0000JITL045L.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
