;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;SKU;#;DENOMINACION;UN;RUBRO;(!);OBS;ACTIVO;CODIGO SAP;
;91;B;BROCHE N° 24/6;UN;LIBRERÍA;;;;;
;92;B;BROCHE N°50;UN;CONSUMIBLE;;;;;
;93;B;"BUJE REDUCCIÓN ACERO NPT 1/2"" X 3/8""";UN;ACCESORIOS;;;;;
;94;B;BURLETE AUTOADHESIVO DE GOMA ESPUMA PARA VENTANA 10MM X 10MM;UN;CONSUMIBLE;;;;;
;95;B;BURLETE AUTOADHESIVO DE GOMA ESPUMA PARA VENTANA 15MM X 15MM;UN;CONSUMIBLE;;;;;
;96;C;CABLE  USB PARA IMPRESORA;UN;LIBRERÍA;;;;;
;97;C;CABLE CORRIENTE 220V PARA PC;UN;INFORMATICA;;;;;
;98;C;CABLE DE RED UTP TAMAÑOS VARIOS;UN;INFORMATICA;;;;;
;99;C;"CABLE DE SEGURIDAD ANTILATIGO  CABLE 1/8  P/MANGUERA D.I. 1/2"" a 1-1/4""  LARGO: 20""";UN;MAQ&HERR;;;;;
;100;C;CABLE P/SOLDADORA NORM GOMA 35mm 350A;MT;MAQ&HERR;;;;;
;101;C;CABLE TPR 2X1 5 MM2;MT;MAQ&HERR;;;;;
;102;C;CABLE TPR 2X2 5 MM2;MT;MAQ&HERR;;;;;
;103;C;CABLE TPR 3X1 5 MM2;MT;MAQ&HERR;;;;;
;104;C;CABLE TPR 3X2 5 MM2;MT;MAQ&HERR;;;;;
;105;C;CABLE VGA;UN;INFORMATICA;;;;;
;106;C;CABO CORTO DE MADERA CON MANGO PARA PALA;UN;MAQ&HERR;;;;;
;107;C;CABO DE MADERA PARA PICO PALA;UN;MAQ&HERR;;;;;
;108;C;CABO PARA ESCOBILLON;UN;LIMPIEZA;;;;;
;109;C;CABO PARA PALA LARGO 1 20 MT;UN;MAQ&HERR;;;;;
;110;C;CAFÉ MOLIDO 500 GR;UN;COMESTIBLES;;;;;
;111;C;CAJA ARCHIVO PLASTICA AZUL OFICIO TV 12 CM PLANA  360X250X120;UN;LIBRERÍA;;;;;
;112;C;CAJA VACIA INCLINADA IP67 16A 70X87MM 570-0116 SCAME;UN;ELECTRICIDAD;;;;;
;113;C;CALCO 8 CM X 8 CM (0800 OLDELVAL);UN;VARIOS;;;;;
;114;C;CALCO CLASIF RESIDUOS BIODEGRADABLES 30X30 CM;UN;VARIOS;;;;;
;115;C;CALCO CLASIF RESIDUOS METALICOS 30X30 CM;UN;VARIOS;;;;;
;116;C;CALCO CLASIF RESIDUOS PLASTICO 30X30 CM;UN;VARIOS;;;;;
;117;C;CALCO NUMERO 0;UN;VARIOS;;;;;
;118;C;CALCO NUMERO 1;UN;VARIOS;;;;;
;119;C;CALCO NUMERO 2;UN;VARIOS;;;;;
;120;C;CALCO NUMERO 3;UN;VARIOS;;;;;
;121;C;CALCO NUMERO 4;UN;VARIOS;;;;;
;122;C;CALCO NUMERO 5;UN;VARIOS;;;;;
;123;C;CALCO NUMERO 6;UN;VARIOS;;;;;
;124;C;CALCO NUMERO 7;UN;VARIOS;;;;;
;125;C;CALCO NUMERO 8;UN;VARIOS;;;;;
;126;C;CALCO NUMERO 9;UN;VARIOS;;;;;
;127;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (ACOPIO DE MATERIALES);UN;VARIOS;;;;;
;128;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (DESVIO DERECHA);UN;VARIOS;;;;;
;129;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (DESVIO IZQUIERDA);UN;VARIOS;;;;;
;130;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (ESTACIONAMIENTO);UN;VARIOS;;;;;
;131;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (GENERICO);UN;VARIOS;;;;;
;132;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (HOMBRES TRABAJANDO);UN;VARIOS;;;;;
;133;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (MAQUINAS TRABAJANDO);UN;VARIOS;;;;;
;134;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (PROHIBIDO PASAR);UN;VARIOS;;;;;
;135;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (PUNTO DE REUNIÓN);UN;VARIOS;;;;;
;136;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (ZANJA ABIERTA);UN;VARIOS;;;;;
;137;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (ZONA DE ARENADO);UN;VARIOS;;;;;
;138;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (ZONA DE FUMADORES);UN;VARIOS;;;;;
;139;C;CALCO PARA CARTEL DE OBRA  40 CM X 30 (ZONA ESTIBA CAÑERÍAS);UN;VARIOS;;;;;
;140;C;CALCO PARA CARTEL DE OBRA  60 CM X 40 (DEPÓSITO DE MATERIALES);UN;VARIOS;;;;;
;141;C;CALCO PARA CARTEL DE OBRA  60 CM X 40 (GENERICO);UN;VARIOS;;;;;
;142;C;CALCOMANIA PARA CASCO;UN;VARIOS;;;;;
;143;C;CALIBRE LECTURA DIGITAL;UN;MAQ&HERR;;;;;
;144;C;CALIBRE PARA NEUMÁTICOS CON INFLADOR;UN;MAQ&HERR;;;;;
;145;C;CAMBIO TUBO DE OXIGENO (GESTIÓN);GL;CONSUMIBLE;;;;;
;146;C;CAMPERA DE DESCARNE TALLE L;UN;EPP;;;;;
;147;C;CAMPERA DE DESCARNE TALLE M;UN;EPP;;;;;
;148;C;CAMPERA DE DESCARNE TALLE XL;UN;EPP;;;;;
;149;C;CAMPERA DE DESCARNE TALLE XXL;UN;EPP;;;;;
;150;C;CAMPERA DE DESCARNE TALLE XXXL;UN;EPP;;;;;
;151;C;CANDADO DOBLE TRABA A BOLILLA SECKUR N°31;UN;MAQ&HERR;;;;;
;152;C;CANDADO N° 26;UN;MAQ&HERR;;;;;
;153;C;CANDADO N° 31;UN;MAQ&HERR;;;;;
;154;C;CANDADO N° 40;UN;MAQ&HERR;;;;;
;155;C;CANDADO N° 50;UN;MAQ&HERR;;;;;
;156;C;CANDADO N° 63;UN;MAQ&HERR;;;;;
;157;C;"CAÑO 14"" 5L GR.X-52  7 14MM DESNUDO";MT;MATERIAL;;;;;
;158;C;"CAÑO ACERO API 5L GR. X52 ESPESOR 6 35 MM Ø 14"" //  DESNUDO";MT;MATERIAL;;;;;
;159;C;CAPA IMPERMEABLE AMARILLA ;UN;EPP;;;;;
;160;C;CARBONES PARA AMOLADORA BOSCH DE 4”;UN;CONSUMIBLE;;;;;
;161;C;CARBONES PARA AMOLADORA BOSCH DE 7”;UN;CONSUMIBLE;;;;;
;162;C;CARBONICOS 22X33 AZUL;UN;LIBRERÍA;;;;;
;163;C;CARETA PROTECTOR FACIAL TRANSP. 18X20 CM;UN;EPP;;;;;
;164;C;CARPETA SEPARADOR AMARILLO TAMAÑO OFICIO;UN;LIBRERÍA;;;;;
;165;C;CARPETA TRANSPARENTE A4;UN;LIBRERÍA;;;;;
;166;C;CARPETA VERDE DE PAPEL OFICIO;UN;LIBRERÍA;;;;;
;167;C;CARRO TRASLACIÓN P/APAREJO CADENA 1 TON;UN;MAQ&HERR;;;;;
;168;C;CARTEL ALTO IMPACTO 40X45 CM PVC;UN;SEGURIDAD;;;;;
;169;C;CARTEL DE OBRA  40 CM X 30 CM ESTACA 1 20 MT;UN;MAQ&HERR;;;;;
;170;C;CARTEL DE PVC 40 CM X 45 CM (PUNTO DE REUNIÓN);UN;MAQ&HERR;;;;;
;171;C;CARTUCHO DE CARBON ACTIVADO POWERBLAST CODIGO TSP0204;UN;CONSUMIBLE;;;;;
;172;C;CASCO AZUL CON SOPORTE PARA SORDINA MSA;UN;EPP;;;;18188;
;173;C;CASCO BLANCO CON SOPORTE PARA SORDINA MSA;UN;EPP;;;;18189;
;174;C;CASCO PETROLERO BLANCO;UN;EPP;;;;;
;175;C;CASCO V-GARD AZU MSA 299934-AR+312027;UN;EPP;;;;;
;176;C;CASCO V-GARD BLA MSA 299931-AR+312027;UN;EPP;;;;;
;177;C;"CEPILLO CIRC TRENZ 4-1/2"" P/AC C/TUERCA";UN;CONSUMIBLE;;;;;
;178;C;"CEPILLO CIRC TRENZ 7"" P/AC";UN;CONSUMIBLE;;;;;
;179;C;CEPILLO P/LAVADO AUTOMOTOR;UN;MAQ&HERR;;;;;
;180;C;CEPILLO PARA DETECTOR DE FALLA DE CAÑERIAS;UN;MAQ&HERR;;;;;
;181;C;"CEPILLO TIPO COPA 4"" TRENZADO";UN;CONSUMIBLE;;;;;
;182;C;CERTIFICACIÓN DE HIDROGRUA INTERNO: ####;GL;CERTIFICADOS;;;;;
;183;C;CHALECO REFLECTIVO NARANJA / VERDE TALLE GRANDE;UN;EPP;;;;;
;184;C;CHAPA NEGRA LISA N°16;UN;CONSUMIBLE;;;;;
;185;C;CHAPA PARA CARTEL DE OBRA DE 300 MM X 400 MM X 2 MM;UN;MAQ&HERR;;;;;
;186;C;CHAVETA PARTIDA DE 4 mm x 100 mm;UN;REPUESTO;;;;;
;187;C;CHECKPOINT N°21 INDICADOR DE TUERCA FLOJA;UN;CONSUMIBLE;;;;;
;188;C;CHECKPOINT N°24 INDICADOR DE TUERCA FLOJA;UN;CONSUMIBLE;;;;;
;189;C;CHECKPOINT N°27 INDICADOR DE TUERCA FLOJA;UN;CONSUMIBLE;;;;;
;190;C;"CHICOTE MANGUERA PARA HOMBRE MUERTO 1 1/4"" 10 BAR";UN;REPUESTO;;;;;
;191;C;CINTA ADHESIVA MATERIAL PAPEL TIPO ENMASCARAR LARGO 50 MT ANCHO 48 MM;UN;CONSUMIBLE;;;;;
;192;C;CINTA AISLADORA NEGRA;UN;CONSUMIBLE;;;;;
;193;C;CINTA DE PELIGRO 5 CM 100 MT ECOLÓGICA;UN;SEGURIDAD;;;;;
;194;C;CINTA METRICA METAL 15m;UN;MAQ&HERR;;;;;
;195;C;CINTA METRICA X 10 MT;UN;MAQ&HERR;;;;;
;196;C;CINTA MÉTRICA X 100 MT FIBERGLASS;UN;MAQ&HERR;;;;;
;197;C;CINTA MÉTRICA X 3 MT;UN;MAQ&HERR;;;;;
;198;C;CINTA MÉTRICA X 5 MT;UN;MAQ&HERR;;;;;
;199;C;CINTA METRICA X 7 50 MT;UN;MAQ&HERR;;;;;
;200;C;CINTA PELIGRO X 50 MTRS;UN;CONSUMIBLE;;;;;
;201;C;CINTA REFLECTIVA 3M COLOR AMARILLO;MT;CONSUMIBLE;;;;;
;202;C;CINTA REFLECTIVA 3M COLOR ROJO;MT;CONSUMIBLE;;;;;
;203;C;CINTA SCOTCH FINA TRANSPARENTE;UN;LIBRERÍA;;;;;
;204;C;CINTA SCOTCH GRUESA TRANSPARENTE;UN;LIBRERÍA;;;;;
;205;C;"CINTA TEFLON DE 1/2""";UN;CONSUMIBLE;;;;;
;206;C;"CINTA TEFLON DE 3/4""";UN;CONSUMIBLE;;;;;
;207;C;COFIA CAPUCHA SOLDADOR FR TECASAFE PLUS 700;UN;EPP;;;;;
;208;C;COLLAR DE FILADELFIA GRANDE;UN;BOTIQUIN;;;;;
;209;C;COLLAR DE FILADELFIA MEDIANO;UN;BOTIQUIN;;;;;
;210;C;CONEXIÓN FLEXIBLE PARA TOLVA;UN;MAQ&HERR;;;;;
;211;C;CONEXIÓN H-H PARA BOQUILLA DE ARENADO;UN;MAQ&HERR;;;;;
;212;C;CONO REFLECTIVO;UN;MAQ&HERR;;;;;
;213;C;CONTRASTE WCP-2 BLANCO MAGNAFLUX ;UN;END;;;;;
;214;C;CONVERTIDOR DE OXIDO 3 EN 1;LT;CONSUMIBLE;;;;;
;215;C;"CUBIERTA DELANTERA 12 5-80-18""";UN;REPUESTO;;;;;
;216;C;CUBIERTAS PARA PICKUP TODO TERRENO;UN;EQUIPOS;;;;;
;217;C;CUCHARA ALBAÑIL CON PUNTA;UN;MAQ&HERR;;;;;
;218;C;CUCHARA ALBAÑIL N°4;UN;MAQ&HERR;;;;;
;219;C;CUCHARA ALBAÑIL N°6;UN;MAQ&HERR;;;;;
;220;C;CUCHARA ALBAÑIL REDONDA;UN;MAQ&HERR;;;;;
;221;C;CUCHARA CHICA;UN;VAJILLA;;;;;
;222;C;CUCHARA DE MADERA;UN;VAJILLA;;;;;
;223;C;CUCHARA GRANDE;UN;VAJILLA;;;;;
;224;C;CUCHARA PARA TE;UN;MAQ&HERR;;;;;
;225;C;CUCHARA SOPERA TRAMONTINA;UN;COCINA;;;;;
;226;C;CUCHARA TE TRAMONTINA MANGO DE MADERA;UN;COCINA;;;;;
;227;C;CUCHILLA REPUESTO PARA TRINCHETA CUTER;UN;CONSUMIBLE;;;;;
;228;C;CUCHILLO SERRUCHO PARA COCINA;UN;MAQ&HERR;;;;;
;229;C;CUCHULLO TRAMONTINA MANGO DE MADERA;UN;COCINA;;;;;
;230;C;CURITAS RESISTENTE AL AGUA;UN;BOTIQUIN;;;;;
;231;C;CUTTER MET STANLEY;UN;MAQ&HERR;;;;;
;232;D;DELANTAL DE DESCARNE PARA SOLDADOR;UN;EPP;;;;;
;233;D;DESINFECTANTE PARA PISOS X 5 LT;LT;LIMPIEZA;;;;;
;234;D;DESODORANTE DE AMBIENTE AEROSOL;UN;LIMPIEZA;;;;;
;235;D;DESODORANTE LISOFORM ORIGINAL 360 CC;UN;LIMPIEZA;;;;;
;236;D;DESTORNILLADOR PALETA MEDIANO;UN;MAQ&HERR;;;;;
;237;D;DESTORNILLADOR PHILLIPS MEDIANO;UN;MAQ&HERR;;;;;
;238;D;DETECTOR DE MEZCLA EXPLOSIVA IND. SCIENT. VENTIS;UN;MAQ&HERR;;;;;
;239;D;DETERGENTE  GR 533 DESENGRASANTE X 20 LITROS;UN;CONSUMIBLE;;;;;
;240;D;DETERGENTE  GR 533 DESENGRASANTE X 5 LITROS;LT;CONSUMIBLE;;;;;
;241;D;DETERGENTE COCINA X 5 LT;UN;LIMPIEZA;;;;;
;242;D;DILUYENTE THINNER ESTÁNDAR;LT;CONSUMIBLE;;;;;
;243;D;"DISCO DE CORTE 114 x 1 6 x 22 2 (4"") X CAJA";UN;CONSUMIBLE;;;;;
;244;D;"DISCO DE CORTE 114 x 3 2 x 22 2 (4"") X CAJA";UN;CONSUMIBLE;;;;;
;245;D;"DISCO DE CORTE 178 x 1 6 x 22 2 (7"") X CAJA";UN;CONSUMIBLE;;;;;
;246;D;"DISCO DE CORTE 178 x 3 2 x 22 2 (7"") X CAJA";UN;CONSUMIBLE;;;;;
;247;D;"DISCO DE DESBASTE 115 x 5 x 22 2 (4"") X CAJA";UN;CONSUMIBLE;;;;;
;248;D;"DISCO DE DESBASTE 178 x 4 8 x 22 2 (7"") X CAJA";UN;CONSUMIBLE;;;;;
;249;D;"DISCO DE DESBASTE 178 X 6 4 x 22 22 (7"") X CAJA";UN;CONSUMIBLE;;;;;
;250;D;"DISCO FLAP MILHOJAS 4"" GRANO Nº 40 X CAJA";UN;CONSUMIBLE;;;;;
;251;D;"DISCO FLAP MILHOJAS 4"" GRANO Nº 80 X CAJA";UN;CONSUMIBLE;;;;;
;252;D;"DISCO FLAP MILHOJAS 7"" GRANO Nº 40 X CAJA";UN;CONSUMIBLE;;;;;
;253;D;DISCOS DE DIAGRAMA P/TACOGRAFO VDO X CAJA;UN;CONSUMIBLE;;;;;
;254;D;DISPENSER DE AGUA FRIO/CALOR;UN;MAQ&HERR;;;;;
;255;D;DISPENSER P/JABON LIQUIDO;UN;LIMPIEZA;;;;;
;256;D;DISYUNTOR MONOFASICO 16A (30MAP);UN;ELECTRICIDAD;;;;;
;257;D;DISYUNTOR MONOFASICO 2P 40A (30MAP);UN;ELECTRICIDAD;;;;;
;258;E;ELECTRODO 6010 2 50 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;259;E;ELECTRODO 6010 3 25 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;260;E;ELECTRODO 6011 3 25 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;261;E;ELECTRODO 7010 3 25 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;262;E;ELECTRODO 7010 4 00 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;263;E;ELECTRODO 7018 2 5 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;264;E;ELECTRODO 7018 3 00 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;265;E;ELECTRODO 7018 3 25 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;266;E;ELECTRODO 7018 4.00 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;267;E;ELECTRODO 8018-B2 2 50 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;268;E;ELECTRODO 8018-B2 3 25 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;269;E;ELECTRODO 8018-B2 4 00 MM X CAJA;KG;CONSUMIBLE;X;costo elevado;;;
;270;E;ELEMENTO FILTRANTE 40 MC PARKER S06 APPS701P;UN;CONSUMIBLE;;;;;
;271;E;ELEMENTO FILTRANTE 5 MC PARKER APPS802P;UN;CONSUMIBLE;;;;;
;272;E;ELEMENTO FILTRANTE COALESCENTE PARKER PF6C10-050;UN;CONSUMIBLE;;;;;
;273;E;ENTRE ROSCA 3/8;UN;MAQ&HERR;;;;;
;274;E;"ENTRE ROSCA REDUCCION 1 1/4"" a 3/4"" HH PVC";UN;REPUESTO;;;;;
;275;E;"ENTRE ROSCA REDUCCIÓN 3/4"" a 1/2"" HH PVC";UN;REPUESTO;;;;;
;276;E;ESCAFANDRA PARA ARENADO;UN;MAQ&HERR;;;;;
;277;E;ESCALERA EXTENSIBLE Y PLEGABLE;UN;MAQ&HERR;;;;;
;278;E;ESCOBILLA CARBONES PARA GENERADOR HONDA EG 6500 CXS;UN;REPUESTO;;;;;
;279;E;ESCOBILLA PARA LIMPIAR VIDRIOS;UN;LIMPIEZA;;;;;
;280;E;ESCOBILLON CERDA SUAVE;UN;LIMPIEZA;;;;;
;281;E;ESLINGA DE RESCATE 4X4 9MTRS;UN;MAQ&HERR;;;;;
;282;E;ESLINGA STD PLANA-OJAL-OJAL - COEF. SEG.  6 - CARGA: 2000 KG - LARGO: 7 METROS;UN;MAQ&HERR;;;;;
;283;E;ESPATULA N° 10;UN;MAQ&HERR;;;;;
;284;E;ESPATULA N° 9;UN;MAQ&HERR;;;;;
;285;E;"ESPIGA 1/2"" M PVC";UN;REPUESTO;;;;;
;286;E;ESPIGA CON TUERCA 1/4;UN;MAQ&HERR;;;;;
;287;E;ESPIGA DE CONEXIÓN ACCESORIO DE ARENADO TIPO 1 EIN3;UN;MAQ&HERR;;;;;
;288;E;ESPIGA DE CONEXIÓN ACCESORIO DE ARENADO TIPO 2 EIN3;UN;MAQ&HERR;;;;;
;289;E;"ESPIGA DOBLE 1/4""";UN;CONSUMIBLE;;;;;
;290;E;"ESPIGA DOBLE 2""";UN;MAQ&HERR;;;;;
;291;E;ESPONJA ACERO P/COCINA;UN;LIMPIEZA;;;;;
