
















































































































































ol activo:  EXPORTAR_HOLISTOR.INIT
08-02-2024 14:55:22 , Verificando Licencia
07-03-2024 11:41:51 , Verificando Licencia
07-03-2024 12:23:41 , Verificando Licencia
07-03-2024 18:47:30 , Error: El archivo 'csrproducto.dbf' no existe. Linea : select 1 as ok,&lc2 as cnombre,&lc3 as cnumero,&lc4 as cid ,&lc5 as wcampo05,&lc6 as wcampo06,&lc7 as wcampo07 ,&lc8 as wcampo08,&lc9 as wcampo09 from &lcalias order by &lcorden








































































































































 into cursor &micursor READWRITE Error :          1 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  CBIOPRECIO2.PAGEFRAME1.PAGE1.KITGRILLATILDARPRODUCTOS.INIT
07-03-2024 18:47:49 , Verificando Licencia
07-03-2024 18:48:47 , Error: El archivo 'csrproducto.dbf' no existe. Linea : select 1 as ok,&lc2 as cnombre,&lc3 as cnumero,&lc4 as cid ,&lc5 as wcampo05,&lc6 as wcampo06,&lc7 as wcampo07 ,&lc8 as wcampo08,&lc9 as wcampo09 from &lcalias order by &lcorden






































































































































 into cursor &micursor READWRITE Error :          1 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  CBIOPRECIO2.PAGEFRAME1.PAGE1.KITGRILLATILDARPRODUCTOS.INIT
07-03-2024 18:49:32 , Verificando Licencia
07-03-2024 18:49:44 , Error: El archivo 'csrproducto.dbf' no existe. Linea : select 1 as ok,&lc2 as cnombre,&lc3 as cnumero,&lc4 as cid ,&lc5 as wcampo05,&lc6 as wcampo06,&lc7 as wcampo07 ,&lc8 as wcampo08,&lc9 as wcampo09 from &lcalias order by &lcorden





































































































































 into cursor &micursor READWRITE Error :          1 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  CBIOPRECIO2.PAGEFRAME1.PAGE1.KITGRILLATILDARPRODUCTOS.INIT
07-03-2024 18:49:55 , Verificando Licencia
07-03-2024 18:54:37 , Error: El archivo 'csrproducto.dbf' no existe. Linea : select 1 as ok,&lc2 as cnombre,&lc3 as cnumero,&lc4 as cid ,&lc5 as wcampo05,&lc6 as wcampo06,&lc7 as wcampo07 ,&lc8 as wcampo08,&lc9 as wcampo09 from &lcalias order by &lcorden



































































































































 into cursor &micursor READWRITE Error :          1 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  CBIOPRECIO2.PAGEFRAME1.PAGE1.KITGRILLATILDARPRODUCTOS.INIT
07-03-2024 18:54:45 , Verificando Licencia
07-03-2024 18:54:56 , Error: El archivo 'csrproducto.dbf' no existe. Linea : select 1 as ok,&lc2 as cnombre,&lc3 as cnumero,&lc4 as cid ,&lc5 as wcampo05,&lc6 as wcampo06,&lc7 as wcampo07 ,&lc8 as wcampo08,&lc9 as wcampo09 from &lcalias order by &lcorden

































































































































 into cursor &micursor READWRITE Error :          1 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  CBIOPRECIO2.PAGEFRAME1.PAGE1.KITGRILLATILDARPRODUCTOS.INIT
07-03-2024 18:58:11 , Verificando Licencia
07-03-2024 18:58:23 , Error: El archivo 'csrproducto.dbf' no existe. Linea : select 1 as ok,&lc2 as cnombre,&lc3 as cnumero,&lc4 as cid ,&lc5 as wcampo05,&lc6 as wcampo06,&lc7 as wcampo07 ,&lc8 as wcampo08,&lc9 as wcampo09 from &lcalias order by &lcorden































































































































 into cursor &micursor READWRITE Error :          1 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  CBIOPRECIO2.PAGEFRAME1.PAGE1.KITGRILLATILDARPRODUCTOS.INIT
07-03-2024 18:58:41 , Verificando Licencia
07-03-2024 18:59:44 , Error: No se encuentra el alias 'CSRPRODUCTO'. Linea : SELECT CsrProducto Error :         13 Ultimo Alias Activo: CSRTIPOIVA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000GMIX07NN.TMP Ultimo Control activo






























































































































:  CBIOPRECIO2.LOAD
07-03-2024 19:00:28 , Error: No se encuentra el alias 'CSRPRODUCTO'. Linea : SELECT CsrProducto Error :         13 Ultimo Alias Activo: CSRTIPOIVA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000GMIX07P0.TMP Ultimo Control activo





























































































































:  CBIOPRECIO2.LOAD
07-03-2024 19:03:21 , Error: No se encuentra el alias 'CSRPRODUCTO'. Linea : SELECT CsrProducto Error :         13 Ultimo Alias Activo: CSRTIPOIVA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000GMIX07U6.TMP Ultimo Control activo




























































































































:  CBIOPRECIO2.LOAD
07-03-2024 19:03:46 , Error: No se encuentra el alias 'CSRPRODUCTO'. Linea : SELECT CsrProducto Error :         13 Ultimo Alias Activo: CSRTIPOIVA Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000GMIX07VK.TMP Ultimo Control activo



























































































































:  CBIOPRECIO2.LOAD
07-03-2024 19:19:48 , Error: La sesión de datos nº 3 no se puede liberar si hay transacciones abiertas. Linea : llok = .grabardato() Error :       1549 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  ON... 
07-03-2024 19:22:20 , Verificando Licencia
13-03-2024 15:41:10 , Verificando Licencia
13-03-2024 15:42:41 , Error: El miembro OPTION3 es un miembro de clase. Linea :  Error :       1760 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  ON... 
13-03-2024 15:59:15 , Error: No se encuentra la variable 'PORCEVENTA'. Linea : replace ALL importefinal WITH unidades, porceventa WITH porceventauni IN CsrAuxPro Error :         12 Ultimo Alias Activo: CSRAUXPRO Ultimo registro:          1  DBF: C:\USERS
























































































































\MARCOS\APPDATA\LOCAL\TEMP\0000J56X012C.TMP Ultimo Control activo:  EST_RANKPRODUCTOS.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
14-03-2024 11:29:45 , Verificando Licencia
20-03-2024 07:50:40 , Verificando Licencia
20-03-2024 07:51:32 , Error: SQL: no se encuentra la columna 'TOTALRB'. Linea : SELECT fechaemi,fecharecep,clasecomp,letra,talonario,numcomproba,nomctacte ,80,cuit,'','',provincia,abrevia,'',totalng,tasa,TotalIG,TotalIG,'',totalnog ,'',TotalPB+TotalRB+To























































































































talPI+TotalRI,Total FROM CsrImprimir ORDER BY registro INTO CURSOR CsrImprimir READWRITE Error :       1806 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:        271 STR(IDMAOPERA,12) DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000DDZD001X.TMP Ultimo Con























































































































trol activo:  EXPORTAR_HOLISTOR.IMPRIMIR_VISTAPREVIA1.EXCEL.CLICK
20-03-2024 07:56:08 , Informe por excel
20-03-2024 07:56:16 , Version 16.0
20-03-2024 07:58:03 , Informe por excel
20-03-2024 07:58:04 , Version 16.0
20-03-2024 08:01:07 , Error: No coinciden los tipos de datos. Linea : INSERT INTO CsrImprimir (idmaopera,codtasa,letra,clasecomp,talonario,numcomproba,fechaemi,fecharecep,nomctacte ,abrevia,cuit,registro,provincia,codperce,registro) VALUES (OscCompras.id






















































































































maopera,'0000',OscCompras.letra,OscCompras.clasecomp,OscCompras.talonario,OscCompras.numcomproba ,OscCompras.fechaemi,OscCompras.fecharecep,OscCompras.nomctacte,OscCompras.abrevia,PeloCuit(OscCompras.cuit) ,RECNO(),OscCompras.provincia,'*',strzero(lnRegi






















































































































stro ,4)) Error :          9 Ultimo Alias Activo: CSRAUXCOMPRAS Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000DDZD00BH.TMP Ultimo Control activo:  EXPORTAR_HOLISTOR.IMPRIMIR_VISTAPREVIA1.EXCEL.CLICK
20-03-2024 08:01:44 , Informe por excel
20-03-2024 08:01:46 , Version 16.0
20-03-2024 08:02:50 , Informe por excel
20-03-2024 08:02:50 , Version 16.0
20-03-2024 08:06:09 , Informe por excel
20-03-2024 08:06:10 , Version 16.0
20-03-2024 08:10:36 , Informe por excel
20-03-2024 08:10:36 , Version 16.0
20-03-2024 08:13:31 , Informe por excel
20-03-2024 08:13:32 , Version 16.0
20-03-2024 10:52:36 , Verificando Licencia
20-03-2024 11:43:43 , Error: No se encuentra la propiedad CONTACTO. Linea : cContacto	= RTRIM(OscCabeza.contacto) Error :       1734 Ultimo Alias Activo: CSRCABEIMP Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000EPE102NO.TMP Ult



















































































































imo Control activo: IDCOMPROBA REGFACVTA.BOTONERACUERPO.CMDSALVAR.CLICK
20-03-2024 11:46:33 , Error: No se encuentra la variable 'CONDICION'. Linea : INSERT INTO CsrimpCab (grupo,Comprobante,FecComproba,NumComp,FecVtoComp ,CodCtacte,NomCtacte,Direccion,Localidad,Categoiva,CUIT,Telefono ,PlanPago,DetaVdor,Extra01,Extra02,Extr


















































































































a03,Extra04,Extra05,Extra06 ,BodyImp001,BodyImp002,BodyImp003,BodyImp004,BodyImp005 ,BodyImp006,BodyImp007,BodyTot001,BodyTot002,BodyTot003 ,HeadImp001,HeadImp002,HeadImp003,HeadImp004,HeadImp005 ,HeadImp006,HeadImp007,HeadTot001,HeadTot002,HeadTot003 ,E


















































































































mpresaRamo,EmpresaNom,EmpresaDire,EmpresaTelf,EmpresaLoca ,EmpresaTribu,EmpresaOtro01,EmpresaOtro02,EmpresaOtro03 ,EmpresaOtro04,EmpresaOtro05,TipoCbte,Letra,NroCAE,VtoCAE,CAECheck ,DetaHoja,DetaReparto,EmpresaCuit,Cuit_Caption ,Retiro,Autorizo,Ubicacion


















































































































,Terminal,Observa ,Talonario,NumComprobante,DocTicket,hojaactual,hojatotal,DetaImpresion ,contacto,clienteref,condicion,condiciongral) VALUES (STR(loObjFactura.hojaactual,4)+STR(icopia,1) ,cComprobante,cFecComproba,cNumComp,cFecVtoComp ,cCodCtacte,cNomCt


















































































































acte,cDireccion,cLocalidad,cCategoiva ,cCUIT,cTelefono,cPlanPago,cDetaVdor ,cExtra01,cExtra02,cExtra03,cExtra04,cExtra05,cExtra06 ,cBodyImp001,cBodyImp002,cBodyImp003,cBodyImp004,cBodyImp005 ,cBodyImp006,cBodyImp007,cBodyTot001,cBodyTot002,cBodyTot003 ,c


















































































































HeadImp001,cHeadImp002,cHeadImp003,cHeadImp004,cHeadImp005 ,cHeadImp006,cHeadImp007,cHeadTot001,cHeadTot002,cHeadTot003 ,cEmpRamo,cEmpNom,cEmpDire,cEmpTelf,cEmpLoca,cEmpIVA ,cEmpO01,cEmpO02,cEmpO03,cEmpO04,cEmpO05,cTipoCbte,cLetra ,cNroCAE,cVtoCAE,cCAECh


















































































































eck,cDetaHoja,cDetaRep,cEmpcuit ,cCuit_Caption,cRetiro,cAutorizo,cUbicacion,cTerminal ,cObserva,cTalonario,cNumComprobante,cDocTicket ,loObjFactura.hojaactual,loObjFactura.hojatotal,cDetaImpresion ,ccontacto,cclienteref,cCondi,cCondiGral) Error :        


















































































































 12 Ultimo Alias Activo: CSRCABECARTEL Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\0000EPE1031W.TMP Ultimo Control activo:  REGFACVTA.BOTONERACUERPO.CMDIMPRIMIR.CLICK
20-03-2024 12:20:04 , Verificando Licencia
20-03-2024 15:22:41 , Verificando Licencia
21-03-2024 10:18:07 , Verificando Licencia
21-03-2024 16:28:45 , Verificando Licencia
22-03-2024 18:41:22 , Verificando Licencia
22-03-2024 19:23:33 , Verificando Licencia
25-03-2024 08:41:10 , Error: El archivo 'csrcabefac.dbf' no existe. Linea : SELECT CsrCabefac.* ,000000000.00 as Baseexe,00 as copiatkt ,00000000.00 as BaseInterno,000000000.00 as BaseDescto ,00000000.00 as BaseGra,00000000.00 as BaseIva ,00000000.00 as 















































































































BaseNocatego,00000000.00 as Perceibto1 ,00000000.00 as Perceibto2,00000000.00 as SubtotSiva ,00000000.00 as SubtotCiva,00000000.00 as BaseDesctoSiva ,00000000.00 as Perceiva ,0000000.00 as BasedtoCiva,0000000.00 as BaseDtoSiva ,SPACE(3) as subnumero,CAST















































































































(1 AS N(1)) AS Valorizado,0 as ComprometeMerc ,SPACE(25) as subcnombre,0000000000 as idprefijo,SPACE(40) as detalle,SPACE(5) as parada ,SPACE(13) as proximonro,SPACE(15) as nroproforma,SPACE(50) as ctaemail ,DATETIME(YEAR(DATE()),MONTH(DATE()),DAY(DATE()















































































































),0,0,0) as Vencimien ,0 as canje, CAST(1 as int) as cuota, SPACE(14) as ObleaLP,CAST(0 as int) as idareaneg ,SPACE(50) as clienteref,SPACE(50) as detacontacto,SPACE(50) as direcentrega ,DATETIME(YEAR(DATE()),MONTH(DATE()),DAY(DATE()),0,0,0) as FecEntreg















































































































a ,00 as RtoBultos, CAST(0 as n(11,2)) as RtoTotal, SPACE(30) as RtoTransporte ,SPACE(30) as  RtoTranspDire,SPACE(13) as proximonro_rto,CAST(0 as n(11,2)) as SaldoCta ,SPACE(2) as TipoCbte, SPACE(29) as CAECheck,SPACE(30) as NomProvincia ,SPACE(30) as re















































































































tiro,SPACE(30) as autorizo,SPACE(30) as ubicacion ,0 as SolicitaDNI,SPACE(50) as nomlocalidad,SPACE(50) as filePrint ,SPACE(50) as nomcategoiva, SPACE(50) as nomoperatoria ,SPACE(13) as nroasociado,DATE() as fechaaso,SPACE(3) as compaso ,SPACE(30) as obs















































































































ervaRtro ,SPACE(30) as cDireccionRtro,SPACE(30) as cTelefonoRtro FROM CsrCabefac WHERE RECNO()=1 AND id=0 INTO CURSOR CsrAuxcabefac READWRITE Error :          1 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  REGFACVTA.LO















































































































AD
25-03-2024 08:41:25 , Verificando Licencia
25-03-2024 09:02:26 , Verificando Licencia
23-04-2024 16:56:43 , Verificando Licencia
23-04-2024 16:57:38 , Verificando Licencia
23-04-2024 17:38:47 , Verificando Licencia
30-04-2024 09:34:00 , Verificando Licencia
30-04-2024 09:45:28 , Verificando Licencia
08-05-2024 17:48:54 , Verificando Licencia
08-05-2024 17:50:24 , Verificando Licencia
08-05-2024 18:04:23 , Error: No se encuentra el alias 'CSRPARAMETROS'. Linea : USE IN Csrparametros Error :         13 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  SUBIVAVTA.IMPRIMIR_VISTAPREVIA1.INIT
08-05-2024 18:04:40 , Verificando Licencia
08-05-2024 18:10:05 , Error: No se encuentra el alias 'CSRPARAMETROS'. Linea : USE IN Csrparametros Error :         13 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  SUBIVAVTA.IMPRIMIR_VISTAPREVIA1.INIT
08-05-2024 18:10:14 , Verificando Licencia
29-05-2024 11:11:22 , Verificando Licencia
29-05-2024 11:20:58 , Verificando Licencia
29-05-2024 11:22:00 , Error: BOTONERA_GRUPO es un miembro desconocido. Linea : .Botonera_grupo.agregar('') Error :       1925 Ultimo Alias Activo: CSRCONEXION Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\00006B61002P.TMP Ultimo Co








































































































ntrol activo:  SUBSTOCK.INIT
29-05-2024 12:23:10 , Error: El archivo 'alltirm.prg' no existe. Linea : replace ALL descripcion WITH '('+alltrim(str(cnumero))+') '+ alltirm(cnombre) IN CsrImprimir Error :          1 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1  DBF: C:







































































































\USERS\MARCOS\APPDATA\LOCAL\TEMP\00006B610346.TMP Ultimo Control activo:  SUBSTOCK.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
29-05-2024 12:50:03 , Error: No se encuentra la variable 'CTACTE'. Linea : replace ALL descripcion WITH ALLTRIM(nomcomproba)+' '+numcomp + '(' + alltrim(str(ctacte))+ ') '+ alltrim(nomctacte)IN CsrImprimir Error :         12 Ultimo Alias Activo: CSRIMPRI






































































































MIR Ultimo registro:          1  DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\00006B6104ED.TMP Ultimo Control activo:  SUBSTOCK.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
29-05-2024 12:51:27 , Error: El valor, tipo o número de argumentos no es válido para la función. Linea : replace ALL descripcion WITH ALLTRIM(nomcomproba)+' '+numcomp + '(' + alltrim(str(ctacte))+ ') '+ alltrim(nomctacte)IN CsrImprimir Error :         11





































































































