CodigoArticulo;DescripcionArticulo;Anulado;UnidadesXBulto;ValorUMedida;UnidadMedida
102;SER C/COLCHON DE FRUTAS X 190G;NO;20;1;UNIDAD
84;LECHE EN POLVO DES.X400GS.SER;NO;10;1;UNIDAD
9104;SER FIRME  F  POTE 195GRS.;NO;20;1;UNIDAD
35;MOZZARELLA IND. P.X4KG.CASANTO;SI;4;1;UNIDAD
85;LECHE ENT.L/DUR.LS C/H.CART.X1;NO;12;1;UNIDAD
9010;YOGURISIMO C/BOLSAS DE CHOC 162GS;NO;20;1;UNIDAD
110;CREMA L.S. PAST. POTE X 250CMC;NO;24;1;UNIDAD
405;L.S. LECHE UEC/H SQ X 1 L.;NO;16;1;UNIDAD
60;MANTECA FORTUNA PAQ. X 200 G.;SI;10;1;UNIDAD
61;MANTECA FORTUNA PAQ. X 500 G.;SI;10;1;UNIDAD
452;LS LEC. UPER-ENTERA SQ 1 L.;SI;16;1;UNIDAD
152;QUESO FUNDIDO CTO/FIAMBRIN 2KG;SI;9;1;UNIDAD
9998;RECONOCIMIENTO DEVOLUCION;NO;1;1;UNIDAD
613;ULTRA DESC. E/CALC. SQV X 1 L.;SI;16;1;UNIDAD
342;DCE L.S ACTUAL X 250G;NO;12;1;UNIDAD
343;DCE L.S ACTUAL X 500G;NO;12;1;UNIDAD
344;D.LECHE L.S. ACTUAL P. 1 KG.;NO;8;1;UNIDAD
615;L.S.DESC.C/HIE.E/CALC.CAJ.X 1L;NO;16;1;UNIDAD
11;SER YOGUR P/BEBER SACHET X1L;NO;16;1;UNIDAD
623;L.S. DES.C/HIE E/CALC.BRI.X 1L;NO;12;1;UNIDAD
5333;YOGURISIMO GO F. BOTELLITA X185GR;NO;35;1;UNIDAD
245;SER CREMOSO BOTELLA X 750G;SI;12;1;UNIDAD
325;CREMA L.S CHANTILLY AERO.X 250;NO;12;1;UNIDAD
34;POSTRE STO COMBDO POTE X 130GS;NO;20;1;UNIDAD
354;MANTECA UNTABLE L.S. X 200 GS.;SI;10;1;UNIDAD
340;YOGUR GRAN COMPRA ENT SACH 1KG;NO;17;1;UNIDAD
346;LECHE LS UAT DESC.E/CALCIO BO1;NO;8;1;UNIDAD
358;YOGUR GRAN COMPRA ENT BEB 1100GR;NO;15;1;UNIDAD
349;LA ARMONIA LCH ENT.ULT.SQ X 1L;NO;16;1;UNIDAD
350;LA ARMONIA LCH.DES.ULT.SQ X 1L;NO;16;1;UNIDAD
338;QUESO PORT SAL DIET FRAC.X650;NO;24;1;UNIDAD
25;DELANTAL SERENISIMA;NO;0;1;UNIDAD
9198;LECHE CINDOR FORT BRICK X250CM3;NO;24;1;UNIDAD
378;QUESO CREM.L.S. FRACC. X 500GS;SI;24;1;UNIDAD
361;LECHE ARMONIA UAT P.DESC 1% X1L;NO;12;1;UNIDAD
114;POSTRE SER COMUN POTE 130 GS.;NO;20;1;UNIDAD
345;LECHE L.S. UAT ENT.BOTELLA 1L.;NO;8;1;UNIDAD
582;DCE CLASICO FORTUNA X 500G;SI;12;1;UNIDAD
353;MTCA.LA PRIMITIVA D/SUERO X200;SI;10;1;UNIDAD
355;MTCA.LA PRIMITIVA D/SUERO X500;SI;10;1;UNIDAD
30;MOZZARELLA CASTO.BARRA X 4 KGS;SI;1;1;UNIDAD
601;ARMONIA LECHE E/POLVO EST.X500;SI;10;1;UNIDAD
602;ARMONIA LECHE E/POLV.DES.EX400;SI;10;1;UNIDAD
168;YOGURISIMO TRES CEREALES X 180;SI;20;1;UNIDAD
1063;LECHE EN POLVO LS ENT X500GS;NO;10;1;UNIDAD
1066;LECHE EN POLVO LS DESC X400GS;NO;10;1;UNIDAD
4012;YOGUR FIRME CODIGO12 S/CARGO;NO;20;1;UNIDAD
640;LECHE LS ULT C/FIBRA SQU 500CM;NO;32;1;UNIDAD
624;LECHE ULT.ENT.DESLAC.CRT.X500C;NO;32;1;UNIDAD
625;LECHE ULT.P/DESC.DESLACT.C.500;NO;32;1;UNIDAD
328;QUESO LS RALLADO X40GS;NO;90;1;UNIDAD
628;REGGIANITTO L.S.FRACC. X 250GR;NO;16;1;UNIDAD
629;SARDO L.S.FRACC. X 220 GRS.;NO;20;1;UNIDAD
143;QUESO TYBO BARRA CASANTO X 4KG;SI;1;1;UNIDAD
665;QUESO DANBO LS FETEADO S.200GS;NO;12;1;UNIDAD
687;SER YOGUR BEBIBLE BOT. X 750G;NO;12;1;UNIDAD
603;POSTRE SERENITO LA COPA X 115G;NO;20;1;UNIDAD
604;P.LA COPA CINDOR C/CRE P.250GR;NO;12;1;UNIDAD
483;QUESO CREMOSO CASANTO HOR.3KG;NO;6;1;UNIDAD
176;QUESO PORSALUT CASANTO X 3;SI;1;1;UNIDAD
578;QUESO RALL FORTUNA X 40;NO;20;1;UNIDAD
686;YOGURIS FULL MIX POTE POR 190G;SI;20;1;UNIDAD
9555;YOGURISIMO CREMIX SABORIZ X120GR;NO;20;1;UNIDAD
956;YOGURISIMO CREMIX PACK X 250GR;NO;24;1;UNIDAD
964;YOG.LS.BAT.C/PUL PACK 500 G;NO;12;1;UNIDAD
965;YOGURISIMO ENT SACHET 190 GS;SI;24;1;UNIDAD
668;QUESO LS GOUDA TROZ X340GS;NO;24;1;UNIDAD
404;LECHE L.S.ORGANICA BRIK X 1 L.;SI;12;1;UNIDAD
672;MOZZARELLA FETEADA X 200 GRS;NO;20;1;UNIDAD
670;QUESO LS PATEGRAS FRACC X350GS;NO;24;1;UNIDAD
746;LECHE SERECOL X 1 LT;NO;16;1;UNIDAD
9703;FLAN SER PACK X 420 GRS.;NO;12;1;UNIDAD
750;SERECOL LECHE Y JUGO C/FITOE.1;NO;16;1;UNIDAD
1351;MANTECA LS LIGHT UNTABLE X200GS;NO;12;1;UNIDAD
360;ARMONIA L.UAT ENT.FOR.MICRO.X1;NO;12;1;UNIDAD
752;CRECER LECHE Y JUGO E.C/VIT.1L;NO;16;1;UNIDAD
304;POSTRE STO. M&M P.120G.;NO;20;1;UNIDAD
138;SER YOGUR BATIDO PACK 2 X 125G;NO;24;1;UNIDAD
833;YOGUR SER TENTACION PACK X 240GS;NO;24;1;UNIDAD
621;LECHE L.S. DESC. UAT CART.X 1L;NO;12;1;UNIDAD
835;SER CREMOSO C/PULPA BOT X 750G;NO;12;1;UNIDAD
643;RICOTA L.S.ENTERA SACHET X 500;NO;18;1;UNIDAD
1644;RICOTA LS MAGRA SACHET X500GS;NO;18;1;UNIDAD
249;MANTECA L.S.DIET EXT.PAQ.X200G;SI;10;1;UNIDAD
570;ACTIMEL NATURAL 100 CM3.;NO;48;1;UNIDAD
9571;ACTIMEL  100 GRS;NO;48;1;UNIDAD
99;MOZZARELLA BOLSA X220GS;NO;20;1;UNIDAD
332;SER LIBRE P/BEBER BOTEL X 200G;NO;35;1;UNIDAD
769;QUESO LS S/PAULIN FRACC X500GS;NO;12;1;UNIDAD
882;DANONINO PACK MANZANA X 90 GS.;NO;72;1;UNIDAD
97;DANONINO A/LAC PACK X 90G;NO;48;1;UNIDAD
17;BOLSA YOGUR SER C/CEREA X 489G;NO;6;1;UNIDAD
997;BOLSA YOGUR SER C/C.FRT 3 X 180GS;NO;6;1;UNIDAD
757;CREMA LS UAT CARTON 375 CM3;NO;40;1;UNIDAD
490;LECHE LS ULTRA ENT. SACHET X 1;NO;16;1;UNIDAD
611;LECHE LS ULT.DESC. SACHET X 1L;SI;16;1;UNIDAD
636;QUESO LS CREMOSO FRACC. 250 GR;NO;48;1;UNIDAD
116;YOGURISIMO DUO MOUSSE 74GS;NO;24;1;UNIDAD
153;LECHE E/POLVO L.S.C/HIER X 500;NO;10;1;UNIDAD
787;DCE L.S DIET X 400G;NO;12;1;UNIDAD
98;DANONINO A/LAC DURAZNO X 90GS;NO;60;1;UNIDAD
315;POSTRE SERENITO PACK X 210 GRS;SI;24;1;UNIDAD
800;PROMO TAPITAS CREMIX REGALO;NO;48;1;UNIDAD
801;SER YOGUR  FIRME CALCI+ P. X 190GS;NO;20;1;UNIDAD
802;PROMO DINO MOCHILA;NO;60;1;UNIDAD
805;7 YOGUR ENTERO VAINILLA X 195 GS;NO;20;1;UNIDAD
883;YOGURISIMO PACK X 750GRS;NO;8;1;UNIDAD
572;ACTIMEL % X 100GRS;NO;48;1;UNIDAD
881;SER CALCIO PACK X 6 U X  720GS;NO;8;1;UNIDAD
632;RICOTTA L.S. ENTERA POTE 200GS;NO;24;1;UNIDAD
633;RICOTTA L.S. MAGRA POTE 200GRS;NO;24;1;UNIDAD
387;LECHE DE 1 A 6 MESES X 250 CM3;NO;27;1;UNIDAD
540;LECHE LS UAT ENT X 500 CM3;NO;16;1;UNIDAD
545;LECHE LS UAT DESC E/C X 500CM;NO;16;1;UNIDAD
795;QUESO CTO.SAINT PAULIN SIN SAL;SI;1;1;UNIDAD
9574;ACTIMEL PACK  600GS;NO;8;1;UNIDAD
6908;YOGURISIMO ENT FORT FIRME X 500;NO;12;1;UNIDAD
886;DANONINO MULTIPACK  X 270GRS.;NO;12;1;UNIDAD
79;QUESO CTO RALLADO X 40G;SI;100;1;UNIDAD
80;QUESO CTO RALLADO X 160G;NO;36;1;UNIDAD
327;LECHE DE 6 A 12 MESES X 250 CM;NO;27;1;UNIDAD
301;HERMETICO LA SERENISIMA MEDIANO;NO;20;1;UNIDAD
580;ACTIMEL 0 % X 100GRS;NO;48;1;UNIDAD
9566;ACTIMEL 0% PACK  X 600CGS;NO;8;1;UNIDAD
799;QUESO FORTUNA RALL. BOLSA 150G;NO;36;1;UNIDAD
322;QUESO BARRA FORTUNA X 3 KGS;NO;1;1;UNIDAD
18;YOGURISIMO BEBIBLE SACHET X 1L;SI;16;1;UNIDAD
797;QUESO LS RALLADO X150GS;NO;63;1;UNIDAD
711;QUESO P DUCREST CAMEMBERT X100;NO;1;1;UNIDAD
712;QUESO P DUCREST BRIE AHUMADO;NO;1;1;UNIDAD
3720;QUESO LS FINLANDIA BRIE NAT 100GS;NO;1;1;UNIDAD
3724;QUESO LS P/DUCREST BRIE NAT X2KG;NO;1;1;UNIDAD
612;COPA CINDOR POTE 100 GS;NO;20;1;UNIDAD
798;QUESO CTO RALLADO BOLSA 150G;SI;36;1;UNIDAD
972;POSTRE SERENITO PACK X 390;NO;12;1;UNIDAD
851;MORTADELA G IRIS X 3 KG;NO;1;1;UNIDAD
251;JAMON COCIDO RYDHANS X 3 KG;NO;1;1;UNIDAD
100;LECHE LS UAT ENT/AZU X 250CM;NO;27;1;UNIDAD
693;QUESO LS MINIFIMBO X500GS;NO;1;1;UNIDAD
681;MOZZARELLA  LS  BOLSA X235GS;NO;20;1;UNIDAD
1115;LECHE ENT. L.S. U/VIT A C D Y B9 1L;NO;16;1;UNIDAD
614;VIDACOL PACK X 480 GR;NO;8;1;UNIDAD
842;DANONINO A/LAC PACK 540G;NO;8;1;UNIDAD
362;BOLSA YOGURISIMO C/CERE 3 X 166G;NO;6;1;UNIDAD
836;YOGURISIMO PACK 5 + 1 750GRS.;NO;8;1;UNIDAD
9573;PACK ACTIMEL X 600GS;NO;8;1;UNIDAD
27;RICOTA GARCIA SACHET X 3 KS.;NO;2;1;UNIDAD
57;MANTECA ARMONIA X 500 GRS.;NO;10;1;UNIDAD
65;CASAMCREM REGULAR X330GS;NO;12;1;UNIDAD
9893;POSTRE SER PACK 400G;NO;12;1;UNIDAD
307;LECHE FORTUNA ULT SACHET ENT FORT X1L;NO;16;1;UNIDAD
317;LECHE DESC.FORTUNA SACHET X1L;NO;16;1;UNIDAD
9303;POSTRE SER PACK 200G;NO;24;1;UNIDAD
671;DCE REPOSTERO FORTUNA X 500G;SI;12;1;UNIDAD
522;MTCA. LA PRIMITIVA PAQ. 100G.;SI;20;1;UNIDAD
566;ACTIMEL 0% PACK 600 GS;NO;8;1;UNIDAD
655;DCE CLASICO FORTUNA X 250G;SI;12;1;UNIDAD
472;CREMA DE LECHE LS X360CC;NO;12;1;UNIDAD
912;YOGURISIMO C/ZUCARITAS PACK;NO;6;1;UNIDAD
127;DANONINO  GRATIS;NO;48;1;UNIDAD
6827;DANONINO BEBIBLE /FX 400GS;NO;12;1;UNIDAD
473;CREMA MAR CHIQUITA POTE X 200C;SI;24;1;UNIDAD
352;MANTECA UNTABLE LS X100GRS;NO;1;1;UNIDAD
666;DULCE DE LECHE FORT X 10 KGS;NO;1;1;UNIDAD
402;SER FIBRAS PACK X 250GS.;NO;24;1;UNIDAD
667;QUESO CASANTO GOUDA X4KG;SI;1;1;UNIDAD
6823;YOGURISIMO CREMIX PACK X 750GR;NO;8;1;UNIDAD
432;FLAN STO PACK X2 210GR;NO;24;1;UNIDAD
433;SOPA INSTANTANEA SER EST. 44GS;NO;24;1;UNIDAD
9994;ALIMENTO DANONINO BAN 161GS;NO;36;1;UNIDAD
821;DANONINO A/LAC PACK X 4  322G;NO;18;1;UNIDAD
436;LECHE UAT ENT. FORT. BRICK 1L.;NO;12;1;UNIDAD
69;LECHE EN POLVO DESC. X 25KGS.;NO;1;1;UNIDAD
3307;LECHE ARMONIA ULT. P/DESC  2%SACHET X1L;NO;17;1;UNIDAD
306;LECHE ARMONIA ULT.DESC.MIC.X1L;NO;17;1;UNIDAD
551;PACK CREMA 360CC Y DLC.LEC 500;NO;1;1;UNIDAD
56;MANTECA LS EXTRA X 25 KG;NO;1;1;UNIDAD
756;LECHE LS ACTIVE FT CLA 250CC;NO;24;1;UNIDAD
758;LECHE LS ACTIVE FORT CLA X1L;NO;8;1;UNIDAD
506;PACK CRECER L./JUG PRISMA X250;SI;1;1;UNIDAD
523;PACK CRECER L/JUGO C/VASO X 2L;NO;1;1;UNIDAD
439;LECHE ENTERA UAT FORTUNA X 1L  S/CARGO;NO;12;1;UNIDAD
690;MOZZARELLA LS FETEADA X180GS;NO;12;1;UNIDAD
300;HERMETICO LA SERENISIMA CHICO;NO;20;1;UNIDAD
565;ACTIMEL PACK X 800 GS.;SI;6;1;UNIDAD
496;QUESO LS SAN PAULIN S/SAL X500;NO;24;1;UNIDAD
766;LECHE MAR CHIQUITA L.V.CAJA X1;NO;12;1;UNIDAD
998;SACHET 508 SIN CARGO;NO;1;1;UNIDAD
172;MAYONESA GJA.IRIS  X 2900CM3.;NO;2;1;UNIDAD
93;DANONINO A/LAC FRUT POTE X105G;NO;20;1;UNIDAD
664;DUL DE LECHE RESPOS CUÑETE X10;NO;1;1;UNIDAD
688;FLAN SERENITO WAU X 110 GS;NO;48;1;UNIDAD
586;TAZA CUPON ACTIMEL;SI;1;1;UNIDAD
849;PACK GRANJA IRIS X6 MAY 50CM;NO;30;1;UNIDAD
899;PACK GRA.IRIS X10 + MAY 50 CM3;SI;27;1;UNIDAD
155;POSTRE SERENITO KUNGFU PANDA;NO;20;1;UNIDAD
584;QUESO FORTUNA X500 GS;NO;24;1;UNIDAD
533;L.S.CREMA 360C+2 RICOTTAS200CC;NO;6;1;UNIDAD
372;QUESO CASANCREM DIET X 300G;NO;12;1;UNIDAD
371;QUESO CASANCREM POTE X 300GS;NO;12;1;UNIDAD
1036;POSTRE SER COPA POTE 120GS;NO;20;1;UNIDAD
377;MAYONESA GRANJA IRIS X 250CM3;NO;6;1;UNIDAD
696;QUESO PATEGRAS FORTUNA X 4KGS;SI;1;1;UNIDAD
437;LECHE EN POLVO LS DESC 5GS(100 UNID);NO;100;1;UNIDAD
438;DCE LS DE LECHE COLONIAL X25GS(120 UNID);NO;120;1;UNIDAD
443;QUESO LS SOBRE 8G 100 UNI;NO;100;1;UNIDAD
341;QUESO BLANCO SER POTE 320GRS;NO;12;1;UNIDAD
464;ACTIMEL PROMO TUPPER+1 PACK400;NO;6;1;UNIDAD
465;ACTIMEL PROMO TUPPER+2 PACK800;NO;5;1;UNIDAD
489;SER YOGUR  FIBRA MIX;NO;35;1;UNIDAD
530;POSTRE DANETTE PACK X 190 GRS.;NO;36;1;UNIDAD
262;SALCHICHA GJA IRIS DIET X5UNID;NO;50;1;UNIDAD
877;DCE LS DE LECHE SER X400GS;NO;12;1;UNIDAD
549;CREMA L.S. UAT L.V. X 200 CM3;NO;30;1;UNIDAD
617;QUESO LS FINLANDIA CLASICO X200GS;NO;24;1;UNIDAD
558;LECHE DE 1 A 3 AÑOS X 250 CM3;NO;27;1;UNIDAD
288;LECHE ENTERA LA ANONIMA X1L;NO;17;1;UNIDAD
289;LECHE DESCREMADA LA ANONIMA X1L;NO;17;1;UNIDAD
744;ALIMENTO CRECER SACHET X 1 LT.;SI;16;1;UNIDAD
645;LECHE SQUARE SER C/FIB ACT.1L;NO;16;1;UNIDAD
616;SALCHICHA SER PAQ. X 5 UNID.;NO;50;1;UNIDAD
6820;YOGUR SER BEB CALCIO+ BOT.190G;NO;35;1;UNIDAD
608;QUESO CASANTO HOLANDA HORMA 4K;NO;1;1;UNIDAD
320;QUESO CSTO SBRINZ PIEZA X 7.5K;SI;1;1;UNIDAD
94;DANONINO A/LAC PACK X 140G;NO;36;1;UNIDAD
618;QUESO LS FINLANDIA LIGHT X200GS;NO;24;1;UNIDAD
826;YOGURISIMO SELECCION X 250;NO;24;1;UNIDAD
759;QUESO FRACC.PATEGRAS PRIMIX350;NO;24;1;UNIDAD
253;ACTIVIA PACK X 250 GS.;NO;24;1;UNIDAD
824;YOGURISIMO CREMIX ED.ESPECIAL PACK  240G;NO;24;1;UNIDAD
830;FLAN DANETTE CREMOSO PACK X 380GR;NO;18;1;UNIDAD
637;QUESO FINLANDIA JAMON P. 200GS;NO;24;1;UNIDAD
1825;YOGURISIMO D/LECH HOT BOT 220G;SI;35;1;UNIDAD
1824;DANONINO FRUT-VAIN PACK 90GRS;SI;72;1;UNIDAD
477;DANONINO POLAR PACK4 X322G;NO;18;1;UNIDAD
474;DANONINO CAJITA SORPRESA X180G;NO;24;1;UNIDAD
815;MUÑECO GRANDE DANONINO;NO;1;1;UNIDAD
1122;POSTRE  SERENITO C/CEREA P.116 GS;NO;20;1;UNIDAD
6012;YOGUR FIRME FORTIF. C/H X 190G;NO;20;1;UNIDAD
1158;FLAN SER TENTACION PACK X 220G;NO;24;1;UNIDAD
531;DANETTE FLAN 95 GR.;NO;48;1;UNIDAD
622;QUESO FINLANDIA PROC.AZUL 200G;SI;24;1;UNIDAD
183;KIT VERANO SER;NO;0;1;UNIDAD
708;LECHE CRECER X 200 CM3;SI;24;1;UNIDAD
146;CHOC. CINDOR LIGHT BRICK 200CM;NO;24;1;UNIDAD
303;POSTRE SER PACK  220 GRS;NO;24;1;UNIDAD
312;POSTRE SERENITO STAR WARS AZUL 118G;NO;20;1;UNIDAD
379;MANTECA TOAY EXTRA PAQ. X 200G;NO;10;1;UNIDAD
19;YOGURISIMO GO EDIC.ESP.BOT.200;SI;35;1;UNIDAD
981;KIT SERENITO (CARTAS);SI;1;1;UNIDAD
222;ACTIVIA BEBIBLE BOT. X 200GS;NO;35;1;UNIDAD
9100;BANDEJAS SACHET;NO;0;1;UNIDAD
987;KIT DANONINO (VALIJITA);NO;0;1;UNIDAD
9435;YOGURISIMO SACHET X 1100KG.;NO;15;1;UNIDAD
258;QUESO BLANCO CASAMCREM X 150GS;NO;12;1;UNIDAD
259;QUESO BCO CASAMCREN LIGHT 150G;NO;12;1;UNIDAD
9825;ACTIVIA SACHET X 900 GS.;NO;17;1;UNIDAD
410;POSTRE STO.CHOCOBO.X118G.;NO;20;1;UNIDAD
440;LECHE LS ENT.FORT.A,C,D SQ 1L;NO;16;1;UNIDAD
441;LECHE LS DES.FORT.A,C,D SQ 1L;NO;16;1;UNIDAD
448;LECHE LS ENT FORT ACD SACH  X1L;NO;17;1;UNIDAD
449;LECHE LS DES.FORT.ACD SACH  1L;NO;16;1;UNIDAD
825;PROMO TAPITAS FIRME REGALO;NO;48;1;UNIDAD
302;HERMETICO LA SERENISIMA GRANDE;NO;20;1;UNIDAD
6430;DANONINO BEBIBLE /F BOT. X 185GR;NO;35;1;UNIDAD
538;YOGUR SER 3  EN 1 PACK 2X290GS;NO;24;1;UNIDAD
937;LECHE SERENITO CHOCOLATADA X 250;NO;24;1;UNIDAD
469;PORTA SACHET;NO;1;1;UNIDAD
265;SER YOGUR TOTAL C/CEREA P.183G;NO;20;1;UNIDAD
547;ACTIMEL CITRUS PACK 4 X 100GS;SI;12;1;UNIDAD
517;DINO PELUCHE;NO;60;1;UNIDAD
1530;PACK DANETTE BOLSA 1/2 GRATIS;NO;12;1;UNIDAD
1094;PACK BOLSA DANONINO 1/2 GRATIS;NO;12;1;UNIDAD
988;PACK CRECER 4 X 200CM;SI;0;1;UNIDAD
600;PROMO ACTIMEL ACTICARTAS;NO;0;1;UNIDAD
351;MANTECA LS LIGHT UNTAB P.X200G;NO;24;1;UNIDAD
903;SER YOGUR DELIC.TAR/FRUT X 250;SI;24;1;UNIDAD
232;SER YOGUR ED/ESP. SACHET X 1L.;SI;16;1;UNIDAD
359;POSTRE SERENITO BOO P. 120 GS;SI;20;1;UNIDAD
6420;ALIMENTO LACTEO FRUTI MIX X 45GS;NO;96;1;UNIDAD
250;YOGUR SER LIBRE ED/ESP.BOT.200;NO;35;1;UNIDAD
526;POSTRE DANET ED/ESP PACK X380G;NO;18;1;UNIDAD
290;ALIM SER JUGO Y LCHE C/FIB X1;NO;16;1;UNIDAD
542;LS INFANTIL ULT ENT/FORT SAC1L;SI;16;1;UNIDAD
543;LS INFALTIL ULT ENT/FORT SQ 1L;SI;16;1;UNIDAD
544;LS INFANTIL UAT ENT/FORT 250CM;SI;27;1;UNIDAD
295;SER JUGO Y LECHE UAT C/F.X250C;SI;27;1;UNIDAD
156;LECHE CINDOR X 1 L.;NO;12;1;UNIDAD
126;SER FIRME DAMASCO POTE X 200GS;SI;20;1;UNIDAD
145;POSTRE VAIN C/DIEN DE HIPOP.;SI;20;1;UNIDAD
233;QUESO CREMA CASANCREM SAB X250;SI;12;1;UNIDAD
230;ALIMENTO SER FRUTOS ROJOS X 1L;SI;16;1;UNIDAD
497;POSTRE SERENITO ESPACIAL 118GR;NO;20;1;UNIDAD
103;ACTIVIA SACHET X 900 GS;NO;16;1;UNIDAD
646;QUESO FINLANDIA DULCE P.110 GS;SI;24;1;UNIDAD
457;DANONINO CEREALES PACK 2 X 45G;SI;72;1;UNIDAD
569;ACTIMEL MANZ MUESTRA GRATIS;SI;1;1;UNIDAD
627;DANONINO MAXI BEBIBLE S/CARGO;SI;35;1;UNIDAD
431;ACTIVIA FIBRABALANCE;NO;24;1;UNIDAD
834;SER CREMOSO C/PULPA DE FRU250G;NO;24;1;UNIDAD
556;FUENTE PROMO YOGURISIMOS/CARGO;NO;1;1;UNIDAD
336;PELUCHE DINOBATUCADA;NO;0;1;UNIDAD
205;LECHE LS U/FT.HIERR A,C,Y D 1L;NO;16;1;UNIDAD
210;LECHE LS DESC U/FT/E/C.A,C  1L;NO;16;1;UNIDAD
356;MANTECA LS EXTRA CON SAL P.200;SI;10;1;UNIDAD
456;POSTRE STO.PAT.DE ARAÑA P.119G;SI;20;1;UNIDAD
740;SERECOL LECHE Y JUGO X 200 CM3;NO;24;1;UNIDAD
990;ACTIVIA PROMO TAPPER 750 GS;SI;6;1;UNIDAD
10005;HERMETICO CHICO + 1 P. GRIEGO;NO;0;1;UNIDAD
291;ALIM SER LECHE Y JUGO UAT 200C;NO;24;1;UNIDAD
228;YOGURISIMO MOUSSE PACK X 140GS;NO;24;1;UNIDAD
6508;YOGURISIMO FORT/HIER SACHET X1KG;NO;17;1;UNIDAD
626;QUESO SER DAMBO FETEADO X 180G;NO;20;1;UNIDAD
6232;SER YOGUR FORT/DESC. SACHE X 1KGS;NO;17;1;UNIDAD
512;YOGUR SER BALANE BOT 185GS;NO;35;1;UNIDAD
47;POSTRE SERENITO WAU PACK 210 G;NO;24;1;UNIDAD
4571;BOTELLITA ACTIMEL GRATIS;NO;6;1;UNIDAD
4222;BOTELLITA ACTIVIA;SI;1;1;UNIDAD
243;ACTIVIA 0 % PACK X 250 GS.;NO;24;1;UNIDAD
511;SER YOGUR LIBRE MIX DE F. X190;SI;35;1;UNIDAD
263;ACTIVIA X6 125 GS 1 POTE GRATIS;NO;8;1;UNIDAD
651;ALIMENTO LS JUNIOR LEC/JUG X1L;NO;17;1;UNIDAD
560;ALIMENTO LS JUNIOR LEC/JUG X200CC;NO;24;1;UNIDAD
373;LECHE LS CRECER INFANTIL X 1L;SI;16;1;UNIDAD
1807;LA SERENISIMA 3 BABY X200ML;NO;30;1;UNIDAD
467;FIAMBRIN LS POTE UNTABLE X 200;SI;24;1;UNIDAD
434;POSTRE SRTO ERA DEL HIELO 114GS;NO;20;1;UNIDAD
181;YOGURISIMO C/CEREA FRUTALES 162GS;NO;20;1;UNIDAD
90;QUESO LS FIAMBRIN PROC X2KG;NO;9;1;UNIDAD
1060;POSTRE SERENITO C/CONF MOGUL 122GS;NO;20;1;UNIDAD
698;QUESO SER DAMBO FRAC X 300 GRS;SI;24;1;UNIDAD
961;LECHE COOP.UAT E/FORT BRIK 1L.;NO;12;1;UNIDAD
486;QUESO COOP. RALLADO B. X 150GS;NO;36;1;UNIDAD
386;MANTECA COOP. EXTRA P. X 200GS;NO;10;1;UNIDAD
