CodigoArticulo;DescripcionArticulo;Anulado;UnidadesXBulto;ValorUMedida;UnidadMedida
687;SER YOGUR BEBIBLE BOT. X 750G;NO;12;1;UNIDAD
603;POSTRE SERENITO LA COPA X 115G;NO;20;1;UNIDAD
604;P.LA COPA CINDOR C/CRE P.250GR;NO;12;1;UNIDAD
686;YOGURIS FULL MIX POTE POR 190G;SI;20;1;UNIDAD
9555;YOGURISIMO CREMIX SABORIZ X120GR;NO;20;1;UNIDAD
956;YOGURISIMO CREMIX PACK X 250GR;NO;24;1;UNIDAD
964;YOG.LS.BAT.C/PUL PACK 500 G;NO;12;1;UNIDAD
965;YOGURISIMO ENT SACHET 190 GS;SI;24;1;UNIDAD
9703;FLAN SER PACK X 420 GRS.;NO;12;1;UNIDAD
304;POSTRE STO. M&M P.120G.;NO;20;1;UNIDAD
138;SER YOGUR BATIDO PACK 2 X 125G;NO;24;1;UNIDAD
833;YOGUR SER TENTACION PACK X 240GS;NO;24;1;UNIDAD
835;SER CREMOSO C/PULPA BOT X 750G;NO;12;1;UNIDAD
570;ACTIMEL NATURAL 100 CM3.;NO;48;1;UNIDAD
9571;ACTIMEL  100 GRS;NO;48;1;UNIDAD
332;SER LIBRE P/BEBER BOTEL X 200G;NO;35;1;UNIDAD
882;DANONINO PACK MANZANA X 90 GS.;NO;72;1;UNIDAD
97;DANONINO A/LAC PACK X 90G;NO;48;1;UNIDAD
17;BOLSA YOGUR SER C/CEREA X 489G;NO;6;1;UNIDAD
997;BOLSA YOGUR SER C/C.FRT 3 X 180GS;NO;6;1;UNIDAD
116;YOGURISIMO DUO MOUSSE 74GS;NO;24;1;UNIDAD
98;DANONINO A/LAC DURAZNO X 90GS;NO;60;1;UNIDAD
315;POSTRE SERENITO PACK X 210 GRS;SI;24;1;UNIDAD
800;PROMO TAPITAS CREMIX REGALO;NO;48;1;UNIDAD
801;SER YOGUR  FIRME CALCI+ P. X 190GS;NO;20;1;UNIDAD
802;PROMO DINO MOCHILA;NO;60;1;UNIDAD
805;7 YOGUR ENTERO VAINILLA X 195 GS;NO;20;1;UNIDAD
883;YOGURISIMO PACK X 750GRS;NO;8;1;UNIDAD
572;ACTIMEL % X 100GRS;NO;48;1;UNIDAD
881;SER CALCIO PACK X 6 U X  720GS;NO;8;1;UNIDAD
9574;ACTIMEL PACK  600GS;NO;8;1;UNIDAD
6908;YOGURISIMO ENT FORT FIRME X 500;NO;12;1;UNIDAD
886;DANONINO MULTIPACK  X 270GRS.;NO;12;1;UNIDAD
301;HERMETICO LA SERENISIMA MEDIANO;NO;20;1;UNIDAD
580;ACTIMEL 0 % X 100GRS;NO;48;1;UNIDAD
9566;ACTIMEL 0% PACK  X 600CGS;NO;8;1;UNIDAD
18;YOGURISIMO BEBIBLE SACHET X 1L;SI;16;1;UNIDAD
612;COPA CINDOR POTE 100 GS;NO;20;1;UNIDAD
972;POSTRE SERENITO PACK X 390;NO;12;1;UNIDAD
614;VIDACOL PACK X 480 GR;NO;8;1;UNIDAD
842;DANONINO A/LAC PACK 540G;NO;8;1;UNIDAD
362;BOLSA YOGURISIMO C/CERE 3 X 166G;NO;6;1;UNIDAD
836;YOGURISIMO PACK 5 + 1 750GRS.;NO;8;1;UNIDAD
9573;PACK ACTIMEL X 600GS;NO;8;1;UNIDAD
65;CASAMCREM REGULAR X330GS;NO;12;1;UNIDAD
9893;POSTRE SER PACK 400G;NO;12;1;UNIDAD
9303;POSTRE SER PACK 200G;NO;24;1;UNIDAD
566;ACTIMEL 0% PACK 600 GS;NO;8;1;UNIDAD
912;YOGURISIMO C/ZUCARITAS PACK;NO;6;1;UNIDAD
127;DANONINO  GRATIS;NO;48;1;UNIDAD
6827;DANONINO BEBIBLE /FX 400GS;NO;12;1;UNIDAD
402;SER FIBRAS PACK X 250GS.;NO;24;1;UNIDAD
6823;YOGURISIMO CREMIX PACK X 750GR;NO;8;1;UNIDAD
432;FLAN STO PACK X2 210GR;NO;24;1;UNIDAD
433;SOPA INSTANTANEA SER EST. 44GS;NO;24;1;UNIDAD
9994;ALIMENTO DANONINO BAN 161GS;NO;36;1;UNIDAD
821;DANONINO A/LAC PACK X 4  322G;NO;18;1;UNIDAD
300;HERMETICO LA SERENISIMA CHICO;NO;20;1;UNIDAD
565;ACTIMEL PACK X 800 GS.;SI;6;1;UNIDAD
998;SACHET 508 SIN CARGO;NO;1;1;UNIDAD
93;DANONINO A/LAC FRUT POTE X105G;NO;20;1;UNIDAD
688;FLAN SERENITO WAU X 110 GS;NO;48;1;UNIDAD
586;TAZA CUPON ACTIMEL;SI;1;1;UNIDAD
155;POSTRE SERENITO KUNGFU PANDA;NO;20;1;UNIDAD
372;QUESO CASANCREM DIET X 300G;NO;12;1;UNIDAD
371;QUESO CASANCREM POTE X 300GS;NO;12;1;UNIDAD
1036;POSTRE SER COPA POTE 120GS;NO;20;1;UNIDAD
341;QUESO BLANCO SER POTE 320GRS;NO;12;1;UNIDAD
464;ACTIMEL PROMO TUPPER+1 PACK400;NO;6;1;UNIDAD
465;ACTIMEL PROMO TUPPER+2 PACK800;NO;5;1;UNIDAD
489;SER YOGUR  FIBRA MIX;NO;35;1;UNIDAD
530;POSTRE DANETTE PACK X 190 GRS.;NO;36;1;UNIDAD
6820;YOGUR SER BEB CALCIO+ BOT.190G;NO;35;1;UNIDAD
94;DANONINO A/LAC PACK X 140G;NO;36;1;UNIDAD
826;YOGURISIMO SELECCION X 250;NO;24;1;UNIDAD
253;ACTIVIA PACK X 250 GS.;NO;24;1;UNIDAD
824;YOGURISIMO CREMIX ED.ESPECIAL PACK  240G;NO;24;1;UNIDAD
830;FLAN DANETTE CREMOSO PACK X 380GR;NO;18;1;UNIDAD
1825;YOGURISIMO D/LECH HOT BOT 220G;SI;35;1;UNIDAD
1824;DANONINO FRUT-VAIN PACK 90GRS;SI;72;1;UNIDAD
477;DANONINO POLAR PACK4 X322G;NO;18;1;UNIDAD
474;DANONINO CAJITA SORPRESA X180G;NO;24;1;UNIDAD
815;MUÑECO GRANDE DANONINO;NO;1;1;UNIDAD
1122;POSTRE  SERENITO C/CEREA P.116 GS;NO;20;1;UNIDAD
6012;YOGUR FIRME FORTIF. C/H X 190G;NO;20;1;UNIDAD
1158;FLAN SER TENTACION PACK X 220G;NO;24;1;UNIDAD
531;DANETTE FLAN 95 GR.;NO;48;1;UNIDAD
183;KIT VERANO SER;NO;0;1;UNIDAD
146;CHOC. CINDOR LIGHT BRICK 200CM;NO;24;1;UNIDAD
303;POSTRE SER PACK  220 GRS;NO;24;1;UNIDAD
312;POSTRE SERENITO STAR WARS AZUL 118G;NO;20;1;UNIDAD
19;YOGURISIMO GO EDIC.ESP.BOT.200;SI;35;1;UNIDAD
981;KIT SERENITO (CARTAS);SI;1;1;UNIDAD
222;ACTIVIA BEBIBLE BOT. X 200GS;NO;35;1;UNIDAD
987;KIT DANONINO (VALIJITA);NO;0;1;UNIDAD
9435;YOGURISIMO SACHET X 1100KG.;NO;15;1;UNIDAD
258;QUESO BLANCO CASAMCREM X 150GS;NO;12;1;UNIDAD
259;QUESO BCO CASAMCREN LIGHT 150G;NO;12;1;UNIDAD
9825;ACTIVIA SACHET X 900 GS.;NO;17;1;UNIDAD
410;POSTRE STO.CHOCOBO.X118G.;NO;20;1;UNIDAD
825;PROMO TAPITAS FIRME REGALO;NO;48;1;UNIDAD
302;HERMETICO LA SERENISIMA GRANDE;NO;20;1;UNIDAD
6430;DANONINO BEBIBLE /F BOT. X 185GR;NO;35;1;UNIDAD
538;YOGUR SER 3  EN 1 PACK 2X290GS;NO;24;1;UNIDAD
937;LECHE SERENITO CHOCOLATADA X 250;NO;24;1;UNIDAD
265;SER YOGUR TOTAL C/CEREA P.183G;NO;20;1;UNIDAD
547;ACTIMEL CITRUS PACK 4 X 100GS;SI;12;1;UNIDAD
517;DINO PELUCHE;NO;60;1;UNIDAD
1530;PACK DANETTE BOLSA 1/2 GRATIS;NO;12;1;UNIDAD
1094;PACK BOLSA DANONINO 1/2 GRATIS;NO;12;1;UNIDAD
600;PROMO ACTIMEL ACTICARTAS;NO;0;1;UNIDAD
903;SER YOGUR DELIC.TAR/FRUT X 250;SI;24;1;UNIDAD
232;SER YOGUR ED/ESP. SACHET X 1L.;SI;16;1;UNIDAD
359;POSTRE SERENITO BOO P. 120 GS;SI;20;1;UNIDAD
6420;ALIMENTO LACTEO FRUTI MIX X 45GS;NO;96;1;UNIDAD
250;YOGUR SER LIBRE ED/ESP.BOT.200;NO;35;1;UNIDAD
526;POSTRE DANET ED/ESP PACK X380G;NO;18;1;UNIDAD
156;LECHE CINDOR X 1 L.;NO;12;1;UNIDAD
126;SER FIRME DAMASCO POTE X 200GS;SI;20;1;UNIDAD
145;POSTRE VAIN C/DIEN DE HIPOP.;SI;20;1;UNIDAD
233;QUESO CREMA CASANCREM SAB X250;SI;12;1;UNIDAD
497;POSTRE SERENITO ESPACIAL 118GR;NO;20;1;UNIDAD
103;ACTIVIA SACHET X 900 GS;NO;16;1;UNIDAD
457;DANONINO CEREALES PACK 2 X 45G;SI;72;1;UNIDAD
569;ACTIMEL MANZ MUESTRA GRATIS;SI;1;1;UNIDAD
627;DANONINO MAXI BEBIBLE S/CARGO;SI;35;1;UNIDAD
431;ACTIVIA FIBRABALANCE;NO;24;1;UNIDAD
834;SER CREMOSO C/PULPA DE FRU250G;NO;24;1;UNIDAD
556;FUENTE PROMO YOGURISIMOS/CARGO;NO;1;1;UNIDAD
336;PELUCHE DINOBATUCADA;NO;0;1;UNIDAD
456;POSTRE STO.PAT.DE ARAÑA P.119G;SI;20;1;UNIDAD
990;ACTIVIA PROMO TAPPER 750 GS;SI;6;1;UNIDAD
10005;HERMETICO CHICO + 1 P. GRIEGO;NO;0;1;UNIDAD
228;YOGURISIMO MOUSSE PACK X 140GS;NO;24;1;UNIDAD
6508;YOGURISIMO FORT/HIER SACHET X1KG;NO;17;1;UNIDAD
6232;SER YOGUR FORT/DESC. SACHE X 1KGS;NO;17;1;UNIDAD
512;YOGUR SER BALANE BOT 185GS;NO;35;1;UNIDAD
47;POSTRE SERENITO WAU PACK 210 G;NO;24;1;UNIDAD
4571;BOTELLITA ACTIMEL GRATIS;NO;6;1;UNIDAD
4222;BOTELLITA ACTIVIA;SI;1;1;UNIDAD
243;ACTIVIA 0 % PACK X 250 GS.;NO;24;1;UNIDAD
511;SER YOGUR LIBRE MIX DE F. X190;SI;35;1;UNIDAD
263;ACTIVIA X6 125 GS 1 POTE GRATIS;NO;8;1;UNIDAD
1807;LA SERENISIMA 3 BABY X200ML;NO;30;1;UNIDAD
434;POSTRE SRTO ERA DEL HIELO 114GS;NO;20;1;UNIDAD
181;YOGURISIMO C/CEREA FRUTALES 162GS;NO;20;1;UNIDAD
1060;POSTRE SERENITO C/CONF MOGUL 122GS;NO;20;1;UNIDAD
311;POSTRE SERENITO STAR WARS ROJO 118G;NO;20;1;UNIDAD
913;DINO REGGAETON;NO;60;1;UNIDAD
7581;ACTIMEL 0 % PACK 400 X GR.S/C;SI;12;1;UNIDAD
101;SERECHOCO X 1 L.;NO;12;1;UNIDAD
32;SERECHOCO X 250 CM3;NO;24;1;UNIDAD
415;YOGURISIMO ENT.SACH X 1250GRS;NO;13;1;UNIDAD
537;ACTIVIA 0% PACK X 500 GS;NO;12;1;UNIDAD
6423;YOGURISIMO FORT ENT SACHET 1.300KS.;NO;12;1;UNIDAD
274;MASCARA SERENITO;NO;0;1;UNIDAD
284;POSTRE SERENITO VERRUGAS X117G;NO;20;1;UNIDAD
271;ALBUN DINOAVENTURA;SI;1;1;UNIDAD
231;SER YOGUR FORT DESC SACHET X1K;NO;15;1;UNIDAD
515;YOGURISIMO SACHET X 1.1KGS;NO;15;1;UNIDAD
2960;LECHE 02 VITAL INFANTIL X200ML;NO;30;1;UNIDAD
2952;LECHE VITAL 3 INFANTIL X800GS;NO;12;1;UNIDAD
5562;LECHE VITAL 4 INFANTIL X800GS;NO;12;1;UNIDAD
2972;LECHE VITAL 1 INFANTIL X800GS;NO;12;1;UNIDAD
2970;LECHE 01 VITAL INFANTIL X200ML;NO;30;1;UNIDAD
2962;LECHE VITAL 2 INFANTIL X800GS;NO;12;1;UNIDAD
919;POSTRE SER C/CEREALES POTE 112;NO;20;1;UNIDAD
935;FRISBBE SERENITO;NO;10;1;UNIDAD
2286;LECHE NUTRILON PREMIUN 1 LX900;SI;12;1;UNIDAD
2613;LECHE NUTRILON PREMIUN 1 X200M;NO;30;1;UNIDAD
2931;LECHE 2 NUTRILON PROFUTURA X200ML;NO;30;1;UNIDAD
2729;LECHE NUTRILON PREMIUN 3 X200M;NO;30;1;UNIDAD
971;SER YOGUR DESC. C/CER P.130 GS;NO;20;1;UNIDAD
619;YOGURISIMO GO PACK X 750 GS;SI;6;1;UNIDAD
1876;LECHE VITAL INFANTIL 1 L.X400G;SI;24;1;UNIDAD
1883;LECHE VITAL INFANTIL 2 L.X400G;SI;24;1;UNIDAD
2279;LECHE NUTRILON PREMIUN 1 LX400;SI;24;1;UNIDAD
2293;LECHE NUTRILON PREMIUN;SI;12;1;UNIDAD
2923;LECHE NUTRILON PROFUTURA 3 X1000ML;NO;6;1;UNIDAD
516;YOGURISIMO ENT FIR MPACK X250G;NO;24;1;UNIDAD
650;ACTIVIA BEBIBLE O % BOT 185 GS;NO;35;1;UNIDAD
652;POSTRE STO C/CER. DEPORL 117 G;NO;20;1;UNIDAD
930;POSTRE DANETTE PACK X 4 460G;NO;12;1;UNIDAD
7650;ACTIVIA BEBIBLE 0% BOTELLA 190;NO;35;1;UNIDAD
268;ACTIVIA C/COLCHON POTE 180GS;NO;20;1;UNIDAD
982;ACTIPULSERA LANZADISCOS;NO;1;1;UNIDAD
816;DISPENCER SOPA INSTAN SER 99GR;NO;12;1;UNIDAD
9902;YOGUR SER  CALC + FFS  POTE 120GS;NO;48;1;UNIDAD
169;YOGURISIMO FORT ENT SACHET 1300 GR;NO;12;1;UNIDAD
223;ACTIVIA FIRME POTE 115 GS;NO;20;1;UNIDAD
7223;CINDOR SIN CARGO 1 LITRO;NO;12;1;UNIDAD
958;YOGURISIMO ENT. C/FRUT.P.150GS;NO;20;1;UNIDAD
951;POSTRE SERENITO MACACO P. X250;NO;24;1;UNIDAD
3608;KINDER SORP ERA DEL HIELO 48 U X 960GS;NO;1;1;UNIDAD
240;YOGURISIMO ENT.BAT.POTE 120 GS;NO;20;1;UNIDAD
840;TIRA SOPA INSTANTANEA  66 GS.;NO;0;1;UNIDAD
193;ALIM LACT DANONINO C/CER  120G;NO;20;1;UNIDAD
702;POSTRE STO MAGICO POTE 118 GS;NO;20;1;UNIDAD
2297;VITAL FRUTAPURA BAN-MANZ X 400;SI;6;1;UNIDAD
2310;VITAL FRUTAPURA PERA-MAN X 400;SI;6;1;UNIDAD
2327;VITAL FRUTAPURA MANZ X 400 GRS;SI;6;1;UNIDAD
4433;PROMO SOPAS 10+1 S/CARGO;NO;0;1;UNIDAD
141;POSTRE STO BAKUGAN C/C P.118GS;NO;20;1;UNIDAD
921;SER DESCREMADO SACHET X 900 GS;NO;16;1;UNIDAD
334;SOPA INSTANTANEA SER X 44 GS.;NO;28;1;UNIDAD
3465;LECHE 04 VITAL INFANTIL X200ML;NO;30;1;UNIDAD
2941;LECHE E/P VITAL INFANTI 3X225G;NO;12;1;UNIDAD
2927;LECHE E/P VITAL INFANTI 1X212G;NO;12;1;UNIDAD
2934;LECHE E/P VITAL INFANTI 2X225G;NO;12;1;UNIDAD
553;YOGUR SER BALANCE FFSX2;NO;24;1;UNIDAD
2303;VITAL INFANTIL FRUTAPURA X 400;SI;24;1;UNIDAD
199;CHOCOLATADA CINDOR MIX P.X150G;NO;24;1;UNIDAD
200;CHOCOLATADA CINDOR MIX P.X300G;NO;20;1;UNIDAD
519;YOGURISIMO GO EDIC.ESP.X200CM3;NO;35;1;UNIDAD
6029;YOGURISIMO ESTILOGRIEGO X 125GR;NO;12;1;UNIDAD
520;ACTIVIA C/COMPOTA POTE 140 GRS;NO;20;1;UNIDAD
7146;CINDOR E/P X 150 GS GRATIS;NO;150;1;UNIDAD
554;VASO PROMO YOGURISIMO;NO;1;1;UNIDAD
555;BOWL PROMO YOGURISIMO;NO;1;1;UNIDAD
2662;PROMO ONPACK NUTRILON 2 X 200M;SI;0;1;UNIDAD
2679;PROMO ONPACK NUTRILON 3 X 200M;SI;0;1;UNIDAD
2709;VITAL 3X900+2 VITAL3 BAN3X200;SI;0;1;UNIDAD
979;YOGURISIMO FIRMA PACK 6 X 750G;NO;8;1;UNIDAD
884;SER DELICIOSO PACK 6 X 750 GS;NO;8;1;UNIDAD
980;YOGUR SER C/CEREAL KORN X163GS;NO;20;1;UNIDAD
6984;YOGURISIMO CREMIX PACK X6 750S;NO;8;1;UNIDAD
811;JUEGO DEL SABOR LS PRIMAVERA;NO;1;1;UNIDAD
818;QUESO CASAMCREM ENTERO 200GR;NO;12;1;UNIDAD
828;QUESO CASANCREM LIGHT 200GR;NO;12;1;UNIDAD
892;LECHE CINDOR EXTRA 1L;NO;12;1;UNIDAD
807;POSTRE SERENITO C/JALEA 210 GS;NO;24;1;UNIDAD
906;BOLSA POSTRE DANETTE PACK 380G;NO;18;1;UNIDAD
363;BOLSA YOGURISIMO GO 3 X 185 GS;NO;11;1;UNIDAD
414;ACTIMEL PACK  MULTIF 1200 GR.;NO;4;1;UNIDAD
513;ACTIMEL 0% PACK 1200 GRS.;NO;4;1;UNIDAD
2846;LECHE NUTRILON PREMIUN 2 X200M;SI;30;1;UNIDAD
2943;LECHE 1 NUTRILON PROFUTURA X200M;NO;30;1;UNIDAD
929;ACTIVIA SACHET X 1.050 GS;NO;15;1;UNIDAD
870;QUESO CREMA CASAMCREM P. 480GS;NO;12;1;UNIDAD
871;QUESO CREMA CASANCREM LIGH 480;NO;12;1;UNIDAD
507;YOGUR SER CALCIO + SACHET FRUT;NO;20;1;UNIDAD
2922;LECHE 3 NUTRILON PROFUTURA X200ML;NO;30;1;UNIDAD
953;ALIMENTO LACTEO ACTIVIA P.190G;NO;36;1;UNIDAD
3021;KINDER CHOC. MAXI 10 X 210 GS.;NO;28;1;UNIDAD
3038;TIC TAC CER-MARA 12 EST. 192GS;NO;24;1;UNIDAD
3094;KINDER SORP T 48 UNID X 960 GS;NO;1;1;UNIDAD
3121;FERRERO ROCHER DISP 16 X 200GS;NO;16;1;UNIDAD
3244;KINDER SORPRESA LUI/LEI  T 24 UNID 480G;NO;8;1;UNIDAD
3314;TIC TAC MENTA ESTUCHES 192 GS;NO;24;1;UNIDAD
3407;TIC TAC TORMENTA 12 EST.192G;NO;24;1;UNIDAD
3527;KINDER CHOCOL ESTUC 10 UNID 50G;NO;16;1;UNIDAD
2778;LECHE NUTRILON PREMIUN 1 L800G;NO;12;1;UNIDAD
2785;LECHE NUTRILON PREMIUN 2 L800G;NO;12;1;UNIDAD
2911;LECHE NUTRILON PROFUTURA 4 X1000ML;NO;6;1;UNIDAD
46;SERENITO CRASH PACK X 200GS;NO;24;1;UNIDAD
993;YOGUR SER C/CEREAL POTE  165GS;NO;20;1;UNIDAD
6231;YOGUR SER F/DESC SACHET 1100GS;NO;15;1;UNIDAD
9903;YOGUR CALCIO + PACK 480GR;NO;12;1;UNIDAD
408;YOGUR GRIEGO PACK 200 GRS;NO;24;1;UNIDAD
6957;YOGURISIMO CREMIX SAB P. 480GS;NO;12;1;UNIDAD
134;FLAN SERENITO PACK X 200 GS;NO;24;1;UNIDAD
2914;VITAL INFANTIL  VITAFE 1  X 800 GS;NO;12;1;UNIDAD
2921;VITAL INFANTIL VITAFE  2  X 800 GS;NO;12;1;UNIDAD
2938;VITAL INFANTIL VITAFE  3  X  800 G;NO;12;1;UNIDAD
1666;VIDACOL PACK X 400 GS;NO;12;1;UNIDAD
3459;KINDER JOY C/SORPRESA 48 UNID 960 GRS;NO;1;1;UNIDAD
4034;POSTRE SERENITO GRATIS;NO;20;1;UNIDAD
4075;VIDACOL GRATIS;NO;6;1;UNIDAD
4612;COPA CINDOR GRATIS;NO;20;1;UNIDAD
229;ACTIVIA SACHET 1100 GRS;NO;15;1;UNIDAD
1213;PROMO VELAS;NO;80;1;UNIDAD
125;YOGURISIMO ENT C/FRUTA POTE 180 GS;NO;20;1;UNIDAD
1003;HERMETICO MEDIA + 2 PACK CACI;NO;0;1;UNIDAD
1004;HERMETICO MEDI + 2 PACK ACTIV;NO;0;1;UNIDAD
1007;HERMETICO GRANDE + 2 SACHET ACTIV;NO;0;1;UNIDAD
425;ACTIVIA BATIDO ENTERO X 500 GS;NO;12;1;UNIDAD
510;ACTIVIA FIBRABALANCE PACK X 500 GS;NO;12;1;UNIDAD
3067;HUEVO DE PASCUA  X 150 GS;NO;6;1;UNIDAD
3664;HUEVO DE PASCUA MAGIC X 125 GS;NO;6;1;UNIDAD
3080;PACK FERRERO + SELFIE STICK;NO;1;1;UNIDAD
3559;KINDER SORPRESA NATOONS 48 UNI. X 960 GS;NO;8;1;UNIDAD
9971;YOGUR SER C/CEREALES CHOC. 164 GS;NO;20;1;UNIDAD
1008;VIDACOL PACK 480 GR MANGO DURAZNO;NO;8;1;UNIDAD
1106;YOGUR SER FIRME POTE 190GR;NO;20;1;UNIDAD
5012;YOGURISIMO FIRME FORT X190GS;NO;20;1;UNIDAD
3817;TIC TAC FRUTILLA 12 EST X 192 GS;NO;24;1;UNIDAD
1011;YOGUR GRIEGO X 100 GS ARANDANO;NO;48;1;UNIDAD
837;ACTIVIA BATIDO ENT PACK 500 GRS;NO;12;1;UNIDAD
5038;KINDER CHOCOLATE T1 DISP 24 U. X 12.50G;NO;8;1;UNIDAD
3619;KINDER SORP MADAGASCAR 24 UNI S 504GS;NO;24;1;UNIDAD
10006;KINDER SORP MADAGASCAR 48 UNI X 1008G;SI;24;1;UNIDAD
3784;KINDER CHOCOLATE 10 EST X 500 GS;NO;0;1;UNIDAD
499;YOGUR SER COLCHON FRU-MOR C/CER 173G;NO;20;1;UNIDAD
3886;PACK PROMO FERRERO C/BOLSO MATERO;NO;1;1;UNIDAD
1508;YOGUR SACHET SIN CARGO  508;NO;16;1;UNIDAD
986;YOGURISIMO STICK PACK 840 GS;NO;9;1;UNIDAD
1037;POSTRE DANETTE 120 GR;NO;20;1;UNIDAD
4007;MONEDA 0.50 CTVOS;NO;0;1;UNIDAD
442;YOGUR FIRME  12 S/CARGO;NO;20;1;UNIDAD
4104;SER FIRME CODIGO 104 S/CARGO;NO;20;1;UNIDAD
4801;CALCI FIRME CODIGO 801 S/CARGO;NO;20;1;UNIDAD
1033;POSTRE DANETTE COPA 100 GS;NO;20;1;UNIDAD
11112;POSTRE SERENITO C/CEREALES X 116 GS;NO;20;1;UNIDAD
7224;CINDOR X 250 CM SIN CARGO;NO;24;1;UNIDAD
1214;PROMO OJOTAS CINDOR;NO;0;1;UNIDAD
1216;PROMO OJOTAS C/ACTIVIA 500 GS;NO;1;1;UNIDAD
1215;PROMO TEJO;NO;1;1;UNIDAD
7095;POSTRE SERENITO VAIN. S/CARGO;NO;20;1;UNIDAD
7034;POSTRE SERENITO COMB S/CARGO;NO;20;1;UNIDAD
1026;POSTRE SERENITO C/GALLET 116S;NO;20;1;UNIDAD
120;BOLSA YOGURI FIRME 3 X 190GS;NO;6;1;UNIDAD
3923;PACK INTRODUCCION FERRERO;NO;0;1;UNIDAD
7423;YOGU FORT ENT SACHET 1300GS S/CARGO;NO;12;1;UNIDAD
7012;YOGURISIMO FIRME FORT 190GS S/CARGO;NO;20;1;UNIDAD
3821;HUEVO PASCUA KINDER LEI 6U 900GS;NO;6;1;UNIDAD
3838;HUECO PASCUA KINDER LUI 6U 900GS;NO;6;1;UNIDAD
7135;YOGURISIMO C/CEREALES 166GS S/CARGO;NO;20;1;UNIDAD
7371;CASANCREM POTE 300G S/CARGO;NO;12;1;UNIDAD
7515;YOG.ENTERO  SACHET 1.L S/CARGO;NO;15;1;UNIDAD
7957;YOG. CREMIX PACK 480 GS S/CARGO;NO;12;1;UNIDAD
3847;HUEVO PAS KINDER PONY 8U X 800G;NO;8;1;UNIDAD
1017;POSTRE SERENITO C/SORP 110 GS;NO;20;1;UNIDAD
7508;YOGUR SACHET X 1 L S/CARGO;NO;16;1;UNIDAD
273;POSTRE DANET PACK X 2 230GS;NO;24;1;UNIDAD
184;FLAN DANETTE CREM.PACK X2 230GS;NO;24;1;UNIDAD
932;FLAN SERENITO FORT. PACK 2 X 210GS;NO;24;1;UNIDAD
3077;PACK PROMO FERRERO DETEC LINTER;NO;1;1;UNIDAD
4000;AJUSTE;NO;0;1;UNIDAD
4001;VALEPOR  50 CTVOS.;NO;0;1;UNIDAD
9423;YOGURISIMO FORT C/H ENT S. X 1.300G.;NO;12;1;UNIDAD
6515;YOGURISIMO FORT ENT S. X 1.100 GS;NO;15;1;UNIDAD
1028;SERENITO MUNDIAL 117 GS VAIN;NO;20;1;UNIDAD
5508;YOGURISIMO SACHET IMBATIBLE X 1000GS;NO;16;1;UNIDAD
9430;ALIM LACT DANONINO BEB FORT 185GS;NO;35;1;UNIDAD
9973;YOGUR SER FORTIF VIT A X 1 LT;NO;16;1;UNIDAD
9827;ALIM LAC DANONINO FOT PACK X 400GS;NO;12;1;UNIDAD
9333;YOGURISIMO GO FORT BOT 180 GS;NO;35;1;UNIDAD
6234;YOGUR SER FORT DESC SACHET 1000GR;NO;17;1;UNIDAD
9332;YOGUR SER LIBRE FORT BOT  185GS;NO;35;1;UNIDAD
